Phone,Founded,Longitude_4,Country,Location_description_5,Location_description_0,Longitude_0,Latitude_2,Location,City_3,Location_description_4,Longitude_5,Website,Name,Address_5,Location_description_2,Type,Latitude_0,Location_description_1,Latitude_4,City_4,Latitude_1,City_2,Company Size,Address_3,Linked In URL,City_5,Latitude_3,Address_4,Longitude_3,Industry,Location_description_3,Address_2,Address_0,Headquarter,City_0,Longitude_1,Overview,Longitude_2,Latitude_5,City_1,Address_1
null,null,null,null,null,null,null,null,"Perth,   AU",null,null,null,http://fiveight.com/,Fiveight,null,null,Privately Held,null,null,null,null,null,null,201-500 employees,null,https://www.linkedin.com/company/fiveight/,null,null,null,null,null,null,null,null,null,null,null,"We invest in, develop and manage residential, commercial and industrial property across Australia. Our model is based on the strategic ownership of assets with the potential to generate returns and also benefit the communities around them. We also specialise in the restoration of important heritage assets.A company of Tattarang.",null,null,null,null
null,2020,null,null,null,null,null,null,"Brisbane, Queensland 4006, AU",null,null,null,http://www.tacticproperty.com,Tactic Property,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/tactic-property/,null,null,null,null,null,null,null,null,"Brisbane, Queensland",null,null,"We are highly experienced commercial property specialists, providing sharper focus to select clients to deliver superior solutions, faster.",null,null,null,null
null,2018,null,null,null,null,null,null,"Level 7, 276 Flinders St, Melbourne, Victoria 3000, AU",null,null,null,http://www.retailrealm.com.au,Retail Realm Partners,null,null,Partnership,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/retailrealm/,null,null,null,null,null,null,null,null,"Melbourne, Victoria",null,null,"“A new age of retail agency - we are bold, we are different, we are innovative.”WHO ARE WE Retail Realm is the newest and most versatile specialised retail agency in Australia. At Retail Realm, we live and breathe everything retail.OUR TEAMOur dedicated head team consists of retail experts with a wealth of industry experience. Principal and Founder, Ben Tremellen, alongside Director and Partner, Cam Taranto, have over 20 years combined experience specialising in retail leasing. They have collectively worked on some of Australia’s most high profile retail assets, gaining key experience at global agencies prior to starting their own business, identifying a need for a boutique and specialised retail agency offering in the market.WHAT WE DELIVERRetail Realm provides our clients with an unmatched, highly qualified and dedicated retail leasing team, operating Australia wide. With one of the largest and most advanced retail networks between them, Ben and Cam offer a personalised retail service for all of their clients. SERVICES* Retail Leasing / Brokerage* Retail Master Planning* Retail Tenant Representation",null,null,null,null
null,null,null,null,null,null,null,null,"Ground Level, 600 Victoria Street, Richmond, VIC 3121, AU",null,null,null,http://www.commercialview.com.au,commercialVIEW.com.au,null,null,Public Company,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/commercialview-com-au/,null,null,null,null,null,null,null,null,"Richmond, VIC",null,null,"Every commercial property buyer, seller, owner and lessee requires an understanding of their market – and commercialVIEW.com.au is the online destination that enables customers to make informed decisions about buying, selling and leasing commercial real estate.As well as showcasing properties for sale and for lease, from office and retail space to warehouses and factories, the commercialVIEW.com.au marketplace provides commercial buyers, sellers, owners and lessees with the inside scoop from real estate professionals. Our new resource centre includes valuable tips, advice and industry insight, including market trends such as capital growth and vacancy rates.Get all this and more from the address that gives you everything you need to know.",null,null,null,null
03 9567 8888,1955,null,null,null,null,null,null,"20-22 Atherton Road, Oakleigh, Victoria 3166, AU",null,null,null,http://www.crabtrees.com.au,Crabtrees Real Estate,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/crabtrees-real-estate/,null,null,null,null,null,null,null,null,"Oakleigh, Victoria",null,null,"With experience in the commercial and industrial real estate spanning half a century, Crabtrees Real Estate are well positioned to serve our client’s property needs. Offering sales and leasing, property management and development consultancy services, we bring a professional and ethical approach to all of our dealings, and work to ensure continued strong results for all our clients. Call today to speak to one of our team.",null,null,null,null
null,null,null,AU,null,null,115.8162,null,"4 Plain Street, East Perth, WA 6004, AU",null,null,null,http://www.perrongroup.com.au/index.html,Perron Group,null,null,Privately Held,-31.939821,null,null,null,null,null,51-200 employees,null,https://www.linkedin.com/company/perron-group/,null,null,null,null,null,null,null,"4 Plain Street, East Perth, WA, 6004, AU","East Perth, WA",East Perth,null,"Perron Group is a substantial privately owned Perth based Group of Companies whose main business activity is property investments and automotive distribution (Toyota). Other activities include unlisted airports, Rio Tinto iron ore royalties, residential land development and managed equities.The diverse property portfolio consists of retail shopping centres, commercial office buildings and industrial properties in Western Australia, New South Wales, Victoria and South Australia. The Group has joint ventures with major institutions such as Westfield, Mirvac, Vicinity Centres and Dexus.",null,null,null,null
null,2009,null,null,null,null,null,null,"203-333 New South Head Road, Suite 3.05, Level 3, Edgecliff, NSW 2027, AU",null,null,null,http://www.haben.com.au,Haben Property Fund,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/haben-property-fund/,null,null,null,null,null,null,null,null,"Edgecliff, NSW",null,null,"Haben Property Fund is a specialist investor and manager of direct property investments. The team is headed up by Harold Finger OAM and Ben Finger. Together, the principals bring property experience and skills which include investment, development, management and finance.",null,null,null,null
null,2020,null,null,null,null,null,null,"PO Box 23112, Docklands, VIC 8012, AU",null,null,null,https://www.cresuccess.co/,CRE Success,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/cresuccess/,null,null,null,null,null,null,null,null,"Docklands, VIC",null,null,"CRE Success works with client-facing and revenue-generating commercial real estate (CRE) professionals in a positive, supportive community. We help our members learn and grow; leading to better clients, a higher income and a bigger impact.We do this via CRE Success: Membership; coaching and mentoring emerging and established industry leaders on a one-on-one basis; and by delivering services to commercial real estate firms, including Group Coaching and Training, Executive Coaching, and speaking at events.Better clients: find, win and retain clients, on a consistent basis, that you want to work with and appreciate you in returnHigher income: As you deliver more revenue to the business, make sure your earnings grow in line with your performanceBigger impact: Become the go-to person in your market segment and achieve career success aligned with your personal goalsIntroducing the ALL NEW CRE Success: Membership Commercial real estate is a massive industry, but until now there hasn't been a platform with what you need to advance your career.Your CRE Success: Membership includes a seven-module course with the curriculum you need to get your career moving - covering mindset, prospecting, personal branding, time management, client experience, pitching & winning, and leadership.We hold live monthly video calls with topical workshops and Q&A to help you implement. And our private, curated community will be there to provide help and keep you accountable - with additional content to support your growth. Instead of taking years to figure it on your own, or waiting to be shown the way, this is your opportunity to take control and join a platform made especially with you in mind. Let Darren Krakowiak be your mentor - he has been on the journey you are on, and is committed to helping you get to the destination more quickly - and then go further!ContentWe are also a resource for commercial real estate professionals e.g. CRE Success: The Podcast.",null,null,null,null
null,2018,null,null,null,null,null,null,"50 Commercial Rd, Newstead, Queensland 4006, AU",null,null,null,http://www.yourcommercial.com.au,Your Commercial,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/the-commercial-group-pty-ltd/,null,null,null,null,null,null,null,null,"Newstead, Queensland",null,null,"Your Commercial is the commercial real estate arm of The Commercial Group Pty Ltd. While new in name to the Brisbane market, Your Commercials Director’s, Chris McLeod and Melanie Scott-Power, have over 16 years’ experience servicing various Real Estate Markets. Your Commercial is a boutique agency which specialises in personalised contact for people who are looking to buy, sell, lease, rent or have their property managed. We also work in a consulting role for a number of our clients wishing to purchase or lease property in Brisbane. Our company ethos is exceptional customer service which we strive to provide at all levels of our business from sales, leasing and property management. Your Property | Your Agent | Your CommercialCareers at Your CommercialYour Commercial is always looking to add talented, motivated team players to our Team.We are currently actively looking to expand our Leasing Negotiator Team. If you are interested please contact us on 07 3148 9901 or at recruitment@yourcommercial.com.au",null,null,null,null
+61 2 9240 1000,1981,null,null,null,null,null,null,"Level 12, 139 Macquarie Street, Sydney, NSW 2000, AU",null,null,null,http://ashemorgan.com.au,AsheMorgan,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/ashe-morgan/,null,null,null,null,null,null,null,null,"Sydney, NSW",null,null,"AsheMorgan was established in 1981, emerging as a leading specialist in commercial real estate finance and by 2008 was originating over A$3.5 billion per annum of bank and non-bank lending.Since 2010, AsheMorgan has evolved and shifted focus to direct investment in a concentrated range of real estate asset classes. Our focus is specifically on commercial and mixed-use assets in metropolitan Sydney, Melbourne and Brisbane, investing in quality real estate with value-add opportunities.We currently have a A$4.0 billion investment and development pipeline and have completed A$10.0 billion in transactions, as a manager and co-investor with our partners, which include major financial institutions across the Asia Pacific region, family offices and high net worth individuals.Our track record of achieving enhanced risk adjusted returns over 40 years is attributable to devising insightful and disciplined strategies based on rigorous analysis, which via our active management allows us to deliver strong investment returns.",null,null,null,null
+61 404 807 653,null,null,null,null,null,null,null,"470 Saint Pauls Terrace, Fortitude Valley, Queensland 4006, AU",null,null,null,http://www.jubileeplace.com.au,Jubilee Place,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/jubilee-place/,null,null,null,null,null,null,null,null,"Fortitude Valley, Queensland",null,null,"Jubilee Place, located within one of Brisbane’s most vibrant and well-established commercial hubs on the corner of St Pauls Terrace and Symes Street, Fortitude Valley, combines state-of-the-art technology and design with classic heritage to create Brisbane’s most impressive commercial development.Jubilee Place will catalyse the revitalisation of one of Brisbane’s most treasured places, the Jubilee Hotel – an iconic gathering place that has played a much-loved part in Brisbane’s history for over a century. The development will benefit from the Hotel’s beautiful heritage character sitting alongside the modern architecture and authentic structural expression of Jubilee Place. Designed in an integrated manner by Blight Rayner, and currently under construction by Watpac, Jubilee Place will be a 14-storey A-Grade office asset with approximately 17,500m² NLA.Robert Bird Group’s impressive exoskeleton structure, a response to site constraints imposed by the Clem 7 tunnel below, provides a unique design identity whilst also enabling an impressively flexible floorplate, floor to ceiling glass and unobstructed views of Brisbane’s CBD. Designed to inspire productivity and wellness at work, Jubilee Place is a destination focused on supporting its tenants and their people. In a nod to project quality and certainty, Watpac has committed to locate its head office within Jubilee Place upon completion. Co-working giant IWG’s Spaces co-working hub will also be housed on levels 1 – 5, facilitating on-site flexible workplace options.Jubilee Place is being developed by JGL Properties in partnership with Credit Suisse Asset Management, who will be represented locally by Kirsty Smith of Kelen Property during delivery phase.Leasing enquiries should be directed to JLL’s Sam Barr or Colliers International’s Shane Van Beest.",null,null,null,null
03 9670 1255,1995,null,null,null,null,null,null,"Level 4, 256 Queen Street, Melbourne, VIC 3000, AU",null,null,null,http://www.crsproperty.com.au,CRS Property,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/crs-property/,null,null,null,null,null,null,null,null,"Melbourne, VIC",null,null,"CRS Property is a highly experienced real estate team, offering a fresh and innovative approach to the multi-faceted property industry.Since 1995, we have offered a broad range of services to corporate end-users, commercial investors and financial institutions – with clients who appreciate our unique approach and proven results.The loyalty and diversification of the firms’ clients along with the natural evolution of the property sector has motivated us to broaden our support to residential investors, developers and occupier services.From the day-to-day business of efficient property management to the more complex issues of large-scale transactions, master planning and leasing, we are a relationship-driven team known for our success, innovation and bespoke services.CRS Property caters to the diverse needs of our clients and offers an extensive range of property services, entrenched by our deep commercial ethos and practical approach to each and every situation. Our key areas include commercial/retail services, marketing and transactional/advisory services.",null,null,null,null
null,1985,null,null,null,null,null,null,"362 Montague Road, West End, Brisbane, QLD 4101, AU",null,null,null,http://www.resortbrokers.com.au,ResortBrokers®,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/resort-brokers-australia/,null,null,null,null,null,null,null,null,"Brisbane, QLD",null,null,"Resort Brokers Australia is the nation’s longest established and most experienced specialist agency active in the accommodation sector.  Established in 1985 by Ian Crooks, we were first to focus exclusively on accommodation business and property sales.  Today, the company continues to command a firm and growing position of market leadership.This is proudly a family business.  Ian Crooks’ expertise and contribution to the sector are widely known and respected.  Now, a second generation has made its mark, taking the dynamic Resort Brokers Australia team to new levels of operation and success.While motels, management rights and caravan parks remain our core business, expansion has focused on emerging areas of demand, in particular, Off-The-Plan Management Rights associated with large-scale apartment developments, and our dedicated Resort Brokers Hotels division.With a deep understanding of this unique sector, we are adept at evaluating the market and we have nurtured firm relationships with a vast network of owners and operators, both in Australia and across Asia-Pacific.Our network of more than 40 specialist brokers matches experience, insight and superior analytical skills with energy, enthusiasm and up-to-the-minute online marketing savvy.  We value honesty and integrity, deliver an exceptional level of service, and work hard to promote the growth and stability of the accommodation industry. Resort Brokers Australia demonstrates a proven track record of sales success stretching from Brisbane to Broome, Tasmania to the Top End, and beyond Australia’s shores.  We are licensed in all States and Territories, with key offices located in Brisbane, Sydney and Melbourne, and strategic international affiliations.",null,null,null,null
03 9831 8900,1975,null,null,null,null,null,null,"Level 3, 2-6 Railway Pde, Camberwell, Melbourne, Victoria 3124, AU",null,null,null,http://www.mcmullin.com.au,McMullin,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/mcmullin-property/,null,null,null,null,null,null,null,null,"Melbourne, Victoria",null,null,"For more than 45 years, the McMullin family has been in the business of property.These deep roots in Melbourne property development have shaped the current business culture, embracing a pioneering spirit and innovative eye on future opportunities.McMullin specialises in tailored property developments, business partnerships and investments both within Melbourne and across Australia. Our property developments include the commercial, industrial, aged care, retail, self-storage and residential sectors.",null,null,null,null
null,null,null,null,null,null,null,null,"152-158 St Georges Terrace, Perth, Western Australia 6000, AU",null,null,null,https://centralparktower.com.au/,Central Park Perth,null,null,Partnership,null,null,null,null,null,null,"1,001-5,000 employees",null,https://www.linkedin.com/company/centralparkperth/,null,null,null,null,null,null,null,null,"Perth, Western Australia",null,null,"Since its completion in 1992, Central Park has been an icon of Perth’s skyline. To this day, it remains Perth’s tallest building and most distinguished business address. Situated at 152-158 St Georges Terrace, Central Park offers the balance of the CBD’s only green space, the city’s most central location, panoramic views and world-class facilities. Home to 14 major tenants, Central Park provides 51 floors of premium and flexible office and retail space to over 3,500 workers. With frontages on Hay Street and St Georges Terrace, Central Park is located within short walking distance of buses and two central train stations, shopping malls, eateries as well as other commercial addresses. A premium-grade tower, Central Park offers a work-and-life centred experience. The precinct boasts 2,500sqm of landscaped parklands,elite conference centre, end-of-trip facilities, an exclusive tenant-only fitness centre and a full-service concierge. Central Park is jointly owned by Perron Group and Frasers Property.",null,null,null,null
null,null,null,AU,null,null,151.13834,null,"Sydney, Sydney, Sydney 2195, AU",null,null,null,http://mrcoolcleaning.com.au,Mr Cool Cleaning Sydney,null,null,Sole Proprietorship,-33.84907,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/mr-cool-cleaning-sydney/,null,null,null,null,null,null,null,"Sydney, Sydney, Sydney, 2195, AU","Sydney, Sydney",Sydney,null,"Mr. Cool Cleaning Services is the first commercial cleaning program you should call. Why? Even if you haven’t heard of us yet, we are a leading franchised brand in the commercial cleaning industry and one of the most respected franchisors of professional office cleaning companies focused on killing germs, removing soil and helping to create cleaner, healthier work environments. We help people start their own franchised businesses using the professional processes, so they may deliver excellent commercial cleaning services to their customers.Mr Cool Cleaning Services Pty Ltd is backed by 15 years of experience in the cleaning industry with the best possible business working knowledge in the industry. Those independently owned and operated franchised businesses and their employees professionally clean over two million square feet of commercial office space every day.Mr Cool Cleaning Services Pty Ltd sets the bar higher for healthy cleaning and differentiates Mr Cool Cleaning Services Pty Ltd from traditional janitorial service providers in the market. Mr. Cool provides local franchisee support and exceptional business and technical training to franchisees through our Support Centers in every market.",null,null,null,null
null,2002,null,null,null,null,null,null,"Po Box 80, Brisbane Markets, Queensland 4106, AU",null,null,null,http://www.brisbanemarkets.com.au,Brisbane Markets Limited,null,null,Public Company,null,null,null,null,null,null,51-200 employees,null,https://www.linkedin.com/company/brisbane-markets-limited/,null,null,null,null,null,null,null,null,"Brisbane Markets, Queensland",null,null,"Brisbane Markets Limited (BML) is the owner of the Brisbane Markets® site and is responsible for its ongoing management and development.Brisbane Markets® occupies 77 hectares of land at Rocklea, just 11 kilometres south-west of the Brisbane CBD.As the proprietor of the site, BML has over 250 leases in place including selling floors, industrial warehousing, retail stores and commercial offices.BML is owned by over 150 predominantly fruit and vegetable industry-based shareholders.  Its major shareholder, Brismark, is the member organisation which represents and serves the needs of the wholesaling sector of the fresh fruit and vegetable industry – particularly the primary wholesalers that operate out of the Brisbane Produce Market.Industry ownership ensures the professional and commercial management of the Brisbane Markets® for the benefit of the horticulture industry.",null,null,null,null
null,2012,null,null,null,null,null,null,"Suite 505 Henry Lawson Business Centre, 19 Roseby Street, Drummoyne, NSW 2047, AU",null,null,null,http://www.pointparking.com.au,Point Parking,null,null,Privately Held,null,null,null,null,null,null,51-200 employees,null,https://www.linkedin.com/company/point-parking/,null,null,null,null,null,null,null,null,"Drummoyne, NSW",null,null,"Point Parking is the newest and fastest-growing Parking Management Company in Australia, specialising in retail and high volume car park management. With over a decade of experience, the Point Parking team understands the high level of customer interaction required in these types of facilities. We have a proven record of significantly increasing all aspects of the operation of car parks, onsite utilisation, and improved customer experience.",null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,http://www.grosvenorplacesydney.com.au/,null,null,null,null,null,null,null,null,null,null,null,null,https://www.linkedin.com/company/grosvenor-place-sydney/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
+61433719112,null,null,null,null,null,null,null,"Brisbane, Queensland 4000, AU",null,null,null,https://www.linkbusiness.com.au,Matteo Melis | LINK Business Brokers,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/sell-your-business-with-matteo-melis-link/,null,null,null,null,null,null,null,null,"Brisbane, Queensland",null,null,"Passionate about business and finance and with a wealth of experience in sales and ecommerce, Matteo settled in Australia in 2013 after gaining international work and business experience in Europe and the US. Matteo entered the world of business sales in 2015 where after selling his own business, he began assisting independent local entrepreneurs marketing their business for sale and liaising with prospective buyers. As a successful agent for LINK Business Brokers, he now boasts a proven record of transactions and large customer database, brokering businesses up to $30,000,000 with areas of special interest including digital, distribution, professional services, franchise and high-end hospitality venues.With a strong knowledge of current marketing trends and a true proactive approach, Matteo works alongside his clients to identify and market the unique opportunities that their business is able to offer to buyers and investors. His digital marketing skills and knowledge of today's M&A market represent a true asset in any business sale. If you’re considering listing your business for sale or growing through an acquisition, contact Matteo today.",null,null,null,null
null,1999,null,AU,null,null,151.13834,null,"Sydney,   AU",null,null,null,http://www.propertydaily.com,Property Daily,null,null,Public Company,-33.84907,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/property-daily/,null,null,null,null,null,null,null,"null, Sydney, null, null, AU",null,Sydney,null,"Property Daily is the premium market news & intelligence service for senior executives and business development managers. It specialises in;•	Identifying business opportunities in commercial leasing, office interiors/fit-out and relocation markets.•	Providing timely qualified leads each working day.•	Providing broad market coverage & detailed analysis.Property Daily reports on the biggest deals and upcoming opportunities in Australia & New Zealand, with a primary focus on Sydney and Melbourne as well as Auckland.Property Daily is published by The Spatial Group, a specialist business publishing and research organisation, which monitors Commercial Leasing, Relocation and Office Fit-out markets in Australia & New Zealand.",null,null,null,null
null,2020,null,null,null,null,null,null,"300 Queen St, Level 9, Brisbane City, Queensland 4000, AU",null,null,null,http://www.firstparking.com.au,First Parking,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/first-parking/,null,null,null,null,null,null,null,null,"Brisbane City, Queensland",null,null,"First Parking is a Brisbane based company that is focusing on benefiting the customer and its clients by working together as a team. In turn this will maximise the customer satisfaction and the value of the parking assets. The Importance Of PartnershipGreat property management is built on excellent tenant retention. Parking is the foundation of that relationship to provide greater value to your tenants, customers and your bottom line. Contact First Parking to find out how you can profit from a partnership with Australia’s #1 parking disruptor.- Get a tailored solution for your tenants & building- Have cutting-edge technology for your car parking- Strengthen your tenant communityFirst Parking ValuesCustomer Satisfaction - Providing customer focused parking facilities that provide a service that represents value for moneyTeamwork And Collaboration - Using a mix of interpersonal, problem solving and communication skills to work together towards the overall asset strategyDetermination - Willing to challenge ideas, take additional responsibility and make tough decisionsDaring To Be Different - To think differently in order to find new, smarter and better solutions so we can take unexpected but potentially rewarding risks based on our knowledge and expertiseTrust - Is the basis for everything we do and the prerequisite for our success. We keep our promises and act with integrity",null,null,null,null
null,2018,null,null,null,null,null,null,"Level 3, 319 George Street, Sydney, NSW 2000, AU",null,null,null,https://htlproperty.com.au/,HTL Property,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/htl-property/,null,null,null,null,null,null,null,null,"Sydney, NSW",null,null,null,null,null,null,null
null,null,null,AU,null,AREA Construction,138.59166,null,"Anzac Hwy, Camden Park, SA 5000, AU",null,null,null,http://www.areaconstruction.com.au,AREA Construction,null,null,Public Company,-34.897945,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/area-construction/,null,null,null,null,null,null,null,"Anzac Hwy, Camden Park, SA, 5000, AU","Camden Park, SA",Camden Park,null,"AREA Construction works with many prominent developers in the construction of commercial/industrial buildings, medium density housing and retirement villages. Our enthusiastic team has a broad range of experience and expertise enabling us to deliver the service and quality synonymous with the Scott Salisbury Group to suit many different budgets. AREA Construction has embraced growth within the commercial environment by balancing 2 major components of success: Building Quality Projects and Superior Customer Service. AREA Construction is setting an enviable industry standard, allowing us to reach our goal of becoming Adelaide’s builder of choice for medium density residential, and commercial constructions. While many of AREA Construction’s projects are won on lump sum tender basis against project home builders or commercial construction firms, from documentation and designs provided by the client, over half are done on a design and construct basis. AREA Construction’s specialised team delivers a seamless process from conception to completion. Our association with the Scott Salisbury Group provides the ideal company culture for providing a full design and construct service. The commercial project management and construction experience means external consultants are engaged specifically to suit a project’s needs.For our project experience visit our website :  www.areaconstruction.com.au",null,null,null,null
null,2018,null,null,null,null,null,null,"Level 1, 140 Bourke Street, Melbourne, VIC 3000, AU",null,null,null,http://apac.solutions,APAC (Asia Pacific Asset Corporation),null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/asia-pacific-asset-corporation/,null,null,null,null,null,null,null,null,"Melbourne, VIC",null,null,"APAC (Asia Pacific Asset Corporation) provides quality asset management and advisory solutions for clients with commercial properties across Asia Pacific.We bring a new level of service to the industry, specialising in servicing private clients, family offices and corporate owner occupiers with multiple asset holdings across the region. Our approach alleviates the need for clients to engage with multiple state-based asset managers. With APAC, everything is managed by your dedicated asset manager.We are proactive in how we service and enhance the performance of commercial assets. Our team is dedicated to building the value of your property portfolio so you can focus on other business priorities. We’re not just looking after your assets. We’re looking out for your interests.",null,null,null,null
null,null,null,null,null,null,null,null,"Melbourne, Victoria 3000, AU",null,null,null,https://ledlin.com.au/,Ledlin Develop,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/ledlin-develop/,null,null,null,null,null,null,null,null,"Melbourne, Victoria",null,null,"Ledlin Develop is a commercial property development business specialising in contemporary workspaces far beyond the industry standard. Our vision is to deliver innovative commercial properties of functional design, with greater usability and more aesthetic appeal than what is currently available to the consumer. Places where occupants are proud and inspired to come to work, as are their customers and clients to visit, interact and do business. Ledlin Build, our internal construction company, provides Ledlin Develop with complete control over building quality and timeliness of contract delivery. Our lean team of multi-talented individuals have intent focus on pairing industry leading design with luxury residential inspired inclusions to deliver a product and investment experience well above the industry standard, for a below market price. Founded in 2013, Ledlin Develop's sharp rise to success was guided by Michael and his 35 years of experience in the construction industry. Michael has provided significant support and direction as his son, Oscar, has applied his business knowledge and relentless passion to quickly make an impact on the Melbourne commercial property market.Ledlin Develop remains committed to creating innovative commercial spaces of the highest quality, delivering contemporary working environments that achieve the perfect balance of aesthetic appeal and functional usability.",null,null,null,null
null,2000,null,null,null,null,null,null,"Level 3/56 Kitchener Parade, Bankstown, NSW 2200, AU",null,null,null,http://www.commercial.net.au,CPG South West,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/commercial-property-group/,null,null,null,null,null,null,null,null,"Bankstown, NSW",null,null,"Commercial Property Group's (CPG) impact on Sydney's commercial and industrial real estate market is largely due to its driving ambition to secure highly self-motivated and experienced team members. According to its Founder and managing director, Matthew McHardy, ""Our aim is to project the company as multi-faceted, modern and innovative. A total solution company that will provide world class commercial property knowledge, so 'let our experience be yours'​...""​The Commercial Property Group of Companies has grown from a one-man operation to an organisation with a massive dominance in the $1,000,000 to $10,000,000 market.In January 2005, Commercial Property Group confirmed its plans for expansion into multiple office locations in Sydney. This was realized with Hayden Bennett’s appointment as Managing Director to drive the southern Sydney Market, with the opening of a second office at King Georges Road, South Hurstville.McHardy and Bennett have embraced technology and recognised the importance of understanding the online market. The company's investment in technology reinforces the CPG vision to offer their 5-star service to Clients both online and offline. www.commercial.net.au, a highly sophisticated and user-friendly website, is regarded by both international and domestic users as the most usable and informative website in the property market.",null,null,null,null
null,null,null,AU,null,null,145.01105,null,"25 Gipps St, Collingwood, Victoria 3066, AU",null,null,null,null,Maesr Partners Pty Ltd,null,null,Privately Held,-37.803425,null,null,null,null,null,null,null,https://www.linkedin.com/company/maesr-partners-pty-ltd/,null,null,null,null,null,null,null,"25 Gipps St, Collingwood, Victoria, 3066, AU","Collingwood, Victoria",Collingwood,null,Maesr Partners is a Mergers and Acquisitions business operating on the principles of Ethics and Strategy to achieve Results.  We focus on targeted direct marketing in a consultative approach rather than generic business sales websites to achieve outcomes.,null,null,null,null
0456685088,2015,null,AU,null,Headquarters,153.55615,null,"Byron Bay, NSW 2481, AU",null,null,null,http://www.JGDDevelopments.com.au,JGD Developments Pty Ltd,null,null,Privately Held,-28.670261,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/jgd-developments-pty-ltd/,null,null,null,null,null,null,null,"null, Byron Bay, NSW, 2481, AU","Byron Bay, NSW",Byron Bay,null,"JGD Developments is a family owned property development business located in Byron Bay, NSW. Living locally means the team are highly focused on delivering projects that are considerate of the local Community with a focus on efficient building design and minimising energy and water usage. - Strong track record of delivering projects with over 30+ years of property development experience.- Community focused as we are local residents.- Focus on efficient building designs with a quality design to last generations to come.",null,null,null,null
null,2015,null,AU,null,Workclub,151.13834,null,"99 Elizabeth Street, Sydney, New South Wales 2000, AU",null,null,null,http://www.whitehallproperty.com.au,Whitehall Property,null,null,Privately Held,-33.84907,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/whitehall-property-services/,null,null,null,null,null,null,null,"99 Elizabeth Street, Sydney, New South Wales, 2000, AU","Sydney, New South Wales",Sydney,null,"At Whitehall, we sweat the small stuff on every project. This attention to detail seperate us from the rest. Let's face it projects can be stressful. Let Whitehall handle all the complexities so you can focus on what you do best. With us, you don't have to deal with multiple suppliers, contractors or technical consultants. We are your single point of expertise. We will guide you through the custom design, value engineering process, contractor engagement, focusing on budget control all the way until completion. Whitehall is a proven and cost affordable partner for your next project. Our best clients have a clear vision of what they want and will stop at nothing to deliver a standout project. If you think we may be able to help, please get in touch. We'd love to hear from you!",null,null,null,null
