Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
George Kosturkov,"588 Great Eastern Hwy, Darlington WA 6070, Australia",-31.9006436,116.0625587,ChIJlYOXLpjHMioRoGo_UlfjBXA,,,,null,null,null,,"588 Great Eastern Hwy, Darlington WA 6070, Australia",-31.9006436,116.0625587
johnmutsaers,"9 Churchill Cres, Inverloch VIC 3996, Australia",-38.6364752,145.7198767,ChIJldBAba4TKmsRmSnP-SAqLoI,,,,null,null,null,,"9 Churchill Cres, Inverloch VIC 3996, Australia",-38.6364752,145.7198767
dreadful maps,"87 Crown St, Wollongong NSW 2500, Australia",-34.4259257,150.8982379,ChIJnVbbLK8ZE2sR3JZi-n43MLs,,,,null,null,null,,"87 Crown St, Wollongong NSW 2500, Australia",-34.4259257,150.8982379
Aboriginal & Pacific Art Gallery,"Malaysia, Johor, Sungai Temon邮政编码: 81200",1.4605252,103.7044938,ChIJcRCKRwsN2jERRQWonVuNCM8,,,,null,null,null,,"Malaysia, Johor, Sungai Temon邮政编码: 81200",1.4605252,103.7044938
Sandringham and District Historical Society Inc,"62 Bay Rd, Sandringham VIC 3191, Australia",-37.9522863,145.0068884,ChIJcWR0-gJv1moR86Vrv3MvVyY,,,,null,null,null,,"62 Bay Rd, Sandringham VIC 3191, Australia",-37.9522863,145.0068884
All Fired Up Ceramic Cafe,"568 Hampton St, Hampton VIC 3188, Australia",-37.9317381,145.0037802,ChIJSeyQDCdv1moRFdwjII55sX0,,,,null,null,null,,"568 Hampton St, Hampton VIC 3188, Australia",-37.9317381,145.0037802
Claire Layman Art,"4/634-640 Elizabeth St, Melbourne VIC 3000, Australia",-37.8034371,144.958652,ChIJ1-1u9zJd1moRK_RqDs0v_K8,,,,null,null,null,,"4/634-640 Elizabeth St, Melbourne VIC 3000, Australia",-37.8034371,144.958652
5th Element Art Glass Studio,"40 Gavins Gully Ct, Dardanup West WA 6236, Australia",-33.3955425,115.7173159,ChIJ37vwmHPhMSoRhKxjfqxJp84,,,,null,null,null,,"40 Gavins Gully Ct, Dardanup West WA 6236, Australia",-33.3955425,115.7173159
Rang Art Studio,"18-20 Great Western Hwy, Parramatta NSW 2150, Australia",-33.8196637,151.0023482,ChIJtyUf6iCjEmsRYvK3I9VpwzA,,,,null,null,null,,"18-20 Great Western Hwy, Parramatta NSW 2150, Australia",-33.8196637,151.0023482
Coffee House Project,"265 Bukit Batok East Ave 4, #01-405, Singapore 650265",1.3498661,103.7595686,ChIJC0x2kkMQ2jER2CVKMBusyCA,,,,null,null,null,,"265 Bukit Batok East Ave 4, #01-405, Singapore 650265",1.3498661,103.7595686
Toowoomba Art,"1 Godsall St, East Toowoomba QLD 4350, Australia",-27.558338,151.962247,ChIJKUyR9D5clmsRWwVtNilTHZE,,,,null,null,null,,"1 Godsall St, East Toowoomba QLD 4350, Australia",-27.558338,151.962247
Rediscover Ceramics,"6 Jack Rd, Wattle Grove WA 6107, Australia",-32.007558,116.024184,ChIJLU0XtqmVMioRJlHypZ_pDHs,,,,null,null,null,,"6 Jack Rd, Wattle Grove WA 6107, Australia",-32.007558,116.024184
JDP Art Gallery,"Unit 15 & 16/7 United Rd, Ashmore QLD 4214, Australia",-27.9784746,153.3827809,ChIJ-Xqfm5MakWsRvroo3QH0aIU,,,,null,null,null,,"Unit 15 & 16/7 United Rd, Ashmore QLD 4214, Australia",-27.9784746,153.3827809
Michael Leeworthy Gallery,"133 Shoreham Rd, Red Hill South VIC 3937, Australia",-38.382772,145.023109,ChIJrWfHQpfG1WoR5XQ8yhpFRHQ,,,,null,null,null,,"133 Shoreham Rd, Red Hill South VIC 3937, Australia",-38.382772,145.023109
Llama Farma,"140 Christmas Hills Rd, Elizabeth Town TAS 7304, Australia",-41.471106,146.6016094,ChIJ9dc079doeqoRDsubOLwTWFA,,,,null,null,null,,"140 Christmas Hills Rd, Elizabeth Town TAS 7304, Australia",-41.471106,146.6016094
Shearwater Studio,"83 Lantana Rd, Phillip Island VIC 3925, Australia",-38.5265045,145.3270185,ChIJ-UZ_yZDy1WoRdOZhMPzFsEc,,,,null,null,null,,"83 Lantana Rd, Phillip Island VIC 3925, Australia",-38.5265045,145.3270185
The Priory at Bingie,"67 Priory Ln, Bingie NSW 2537, Australia",-36.0168462,150.1407205,ChIJKVRWx_L1FWsR1asvMtP4DuA,,,,null,null,null,,"67 Priory Ln, Bingie NSW 2537, Australia",-36.0168462,150.1407205
The Design Files Open House,"5 Bennett Pl, Surry Hills NSW 2010, Australia",-33.8860637,151.2163007,ChIJZy3jAByuEmsR5JM0UyRYIhA,,,,null,null,null,,"5 Bennett Pl, Surry Hills NSW 2010, Australia",-33.8860637,151.2163007
Australian Chinese Ex-Services,"Sydney NSW 2000, Australia",-33.8762132,151.2038604,ChIJMUiqZzuuEmsRMBrRst0uGtU,,,,"null, Sydney, null, null, AU",-33.84907,151.13834,,"null, Sydney, null, null, AU",-33.84907,151.13834
Josephine Walsh Digital Communications,"Strand, London WC2R 2LS, United Kingdom",51.5114864,-0.115997,ChIJ3VW0o7UEdkgRjZLQfvs-ZLA,,,,"Canberra, Canberra, ACT, 2601, AU",-35.28078,149.1314,,"Canberra, Canberra, ACT, 2601, AU",-35.28078,149.1314
Ten Thousand Paces,"10000 Santa Monica Blvd, Los Angeles, CA 90067, United States",34.0632205,-118.4144015,ChIJKwEkA_W7woARnpjSg2L-Grc,,,,"shop 10, Springetts Arcade, Bowral, NSW, 2576, AU",-34.47676,150.41818,,"shop 10, Springetts Arcade, Bowral, NSW, 2576, AU",-34.47676,150.41818
Avalon Beach Historical Society,"Avalon, Avalon Beach NSW 2107, Australia",-33.633061,151.329329,ChIJBY_1e9WscmsRka7E74Lij3o,,,,"15 Bowling Green Lane, Avalon Beach, New South Wales, 2107, AU",-33.629284,151.31609,,"15 Bowling Green Lane, Avalon Beach, New South Wales, 2107, AU",-33.629284,151.31609
Brighton Historical Society,"Corner Carpenter and Wilson Streets, Brighton VIC 3186, Australia",-37.911061,144.9987466,ChIJ5f611tBo1moRedp6KIiXRNc,,,,null,null,null,,"Corner Carpenter and Wilson Streets, Brighton VIC 3186, Australia",-37.911061,144.9987466
Freshwater Bay Museum,"66 Victoria Ave, Claremont WA 6010, Australia",-31.9904269,115.7870584,ChIJuezXgUGkMioRazK-9veqfnI,,,,null,null,null,,"66 Victoria Ave, Claremont WA 6010, Australia",-31.9904269,115.7870584
National Museum of Australian Pottery,"76 Albury St, Holbrook NSW 2644, Australia",-35.7262746,147.312284,ChIJOZ2WfbFJImsRtMOwOCOlpos,,,,null,null,null,,"76 Albury St, Holbrook NSW 2644, Australia",-35.7262746,147.312284
Frankston Historical Society,"Ballam Park Homestead 260R, Cranbourne Rd, Frankston VIC 3199, Australia",-38.152108,145.16048,ChIJqfANYxgL1moReTuyjlbIyrs,,,,null,null,null,,"Ballam Park Homestead 260R, Cranbourne Rd, Frankston VIC 3199, Australia",-38.152108,145.16048
Tamworth Powerstation Museum,"216 Peel St, Tamworth NSW 2340, Australia",-31.0871867,150.9269146,ChIJlZHxp8uYCmsRJcwMj13iknk,,,,null,null,null,,"216 Peel St, Tamworth NSW 2340, Australia",-31.0871867,150.9269146
Frank Partridge Military Museum,"29 High St, Bowraville NSW 2449, Australia",-30.646006,152.853345,ChIJScoP1UsonGsRifhiypyzWEA,,,,null,null,null,,"29 High St, Bowraville NSW 2449, Australia",-30.646006,152.853345
Wide Open Road Art,"Hargraves St &, Mostyn St, Castlemaine VIC 3450, Australia",-37.065767,144.21932,ChIJMYNyDNQw12oR4BxfzeYsC5w,,,,null,null,null,,"Hargraves St &, Mostyn St, Castlemaine VIC 3450, Australia",-37.065767,144.21932
Getrocked,"20 Bridgemary Cres, Girraween NT 0836, Australia",-12.53671,131.1125031,ChIJ1cTs_wamwCwRuliXyHRAEPs,,,,null,null,null,,"20 Bridgemary Cres, Girraween NT 0836, Australia",-12.53671,131.1125031
thecharmingcollective.com,null,null,null,null,,,,null,null,null,,null,null,null
Vidler Art Parlour & Store,"Suite 11/138A Malop St, Geelong VIC 3220, Australia",-38.1484106,144.3635887,ChIJ-8xakNQV1GoRCS-YId8o_t4,,,,null,null,null,,"Suite 11/138A Malop St, Geelong VIC 3220, Australia",-38.1484106,144.3635887
Dean Sunshine,"156 Victoria St, Brunswick VIC 3056, Australia",-37.7681907,144.971258,ChIJ37BAGlBD1moR8Tuf11o4B9Y,,,,null,null,null,,"156 Victoria St, Brunswick VIC 3056, Australia",-37.7681907,144.971258
Bacchus Marsh and District Historical Society Inc,"215 Main St, Bacchus Marsh VIC 3340, Australia",-37.676598,144.441477,ChIJuzaWO2SV1moRFrMDCFJ-cgU,,,,null,null,null,,"215 Main St, Bacchus Marsh VIC 3340, Australia",-37.676598,144.441477
Murwillumbah Historical Society,"C/- Tweed Regional Museum, 2 Queensland Rd, Murwillumbah NSW 2484, Australia",-28.325662,153.395455,ChIJiWWOcgHwkGsRs7vMEPctHIg,,,,null,null,null,,"C/- Tweed Regional Museum, 2 Queensland Rd, Murwillumbah NSW 2484, Australia",-28.325662,153.395455
Sands de Vos,"Louis Vuitton Island Maison ,2 Bayfront Avenue B2 Shop 36, Singapore 018972",1.2852088,103.858631,ChIJvyM9ZAYZ2jER1nqZzu6bU5U,,,,null,null,null,,"Louis Vuitton Island Maison ,2 Bayfront Avenue B2 Shop 36, Singapore 018972",1.2852088,103.858631
Euroa Horse Park,"Seven Creeks Estate Rd, Euroa VIC 3666, Australia",-36.801487,145.591684,ChIJ_YBcVX6MJ2sR-cIzmEpeEy8,,,,null,null,null,,"Seven Creeks Estate Rd, Euroa VIC 3666, Australia",-36.801487,145.591684
Dunmore Gallery,"33 Dunmore St, East Toowoomba QLD 4350, Australia",-27.5559395,151.9697498,ChIJkZZn2bxdlmsRBjn1E9PckdY,,,,null,null,null,,"33 Dunmore St, East Toowoomba QLD 4350, Australia",-27.5559395,151.9697498
Gippsland Armed Forces Museum,"Lyon Cres, Fulham VIC 3851, Australia",-38.0961371,146.9644087,ChIJNaUF9oksL2sRxelVDLiKfrI,,,,null,null,null,,"Lyon Cres, Fulham VIC 3851, Australia",-38.0961371,146.9644087
Dingley Village Historical Society,"31B Marcus Rd, Dingley Village VIC 3172, Australia",-37.9819055,145.1351395,ChIJr2L_nLVs1moR5F3RY9tO-Tc,,,,null,null,null,,"31B Marcus Rd, Dingley Village VIC 3172, Australia",-37.9819055,145.1351395
Linnean Society of NSW,"4/2 Gardeners Rd, Kingsford NSW 2032, Australia",-33.9247455,151.2276618,ChIJTzmMAIaxEmsRt_7kMn0MmCg,,,,null,null,null,,"4/2 Gardeners Rd, Kingsford NSW 2032, Australia",-33.9247455,151.2276618
Australasian Motor Museum Association,"Shannon St, Birdwood SA 5234, Australia",-34.8197014,138.9544973,ChIJEVvaqWZbt2oR5BxZQIkhe6Q,,,,null,null,null,,"Shannon St, Birdwood SA 5234, Australia",-34.8197014,138.9544973
Luskintyre Airfield,"Pywells Rd, Luskintyre NSW 2321, Australia",-32.6662623,151.4158023,ChIJO3c-lipMc2sRu8E1Oi57tnI,,,,null,null,null,,"Pywells Rd, Luskintyre NSW 2321, Australia",-32.6662623,151.4158023
The Old Courthouse Museum Batemans Bay,"3 Museum Pl, Batemans Bay NSW 2536, Australia",-35.7118527,150.1781186,ChIJsUf_7iXAFWsRZ9GRAwAA728,,,,null,null,null,,"3 Museum Pl, Batemans Bay NSW 2536, Australia",-35.7118527,150.1781186
New Italy Museum,"8275 Old Pacific Hwy, Woodburn NSW 2472, Australia",-29.1531402,153.298506,ChIJz9l36h97mmsR3enSkwRytmE,,,,null,null,null,,"8275 Old Pacific Hwy, Woodburn NSW 2472, Australia",-29.1531402,153.298506
National Holden Motor Museum,"7-11 Warren St, Echuca VIC 3564, Australia",-36.1201828,144.7451288,ChIJ39D22-MC2WoRUnleCfln15I,,,,null,null,null,,"7-11 Warren St, Echuca VIC 3564, Australia",-36.1201828,144.7451288
Thredbo Historical Society,"Thredbo NSW 2625, Australia",-36.5042867,148.3055641,ChIJP_5sa7pLI2sRHaDOj_zbOwY,,,,null,null,null,,"Thredbo NSW 2625, Australia",-36.5042867,148.3055641
Infantry Museum - Lone Pine Barracks,"Range Rd, Singleton Military Area NSW 2330, Australia",-32.6291415,151.1750108,ChIJ-5IPLsOwDGsRHszKIdMIrw4,,,,null,null,null,,"Range Rd, Singleton Military Area NSW 2330, Australia",-32.6291415,151.1750108
Cairns Historical Society Museum,"Cairns School of Arts building, Cnr Lake and Shields St, 93/105 Lake St, Cairns City QLD 4870, Australia",-16.9222244,145.7752673,ChIJD8gWPJJmeGkRg7Ld7N_eD84,,,,null,null,null,,"Cairns School of Arts building, Cnr Lake and Shields St, 93/105 Lake St, Cairns City QLD 4870, Australia",-16.9222244,145.7752673
Cryptocreatives,"2A Fife St, Forrestfield WA 6058, Australia",-31.9902568,116.0053979,ChIJEdgkfE-_MioRoWPq7HLzrZU,,,,null,null,null,,"2A Fife St, Forrestfield WA 6058, Australia",-31.9902568,116.0053979
Ortelia Curator Virtual Exhibitions,null,null,null,null,,,,null,null,null,,null,null,null
Scinapse WA,"184 Marine Terrace, Geraldton WA 6531, Australia",-28.7746916,114.6074065,ChIJK0Aefo9G2isRrdLjCgvtHb0,,,,"CityHive, 184 Marine Terrace, Geraldton, WA, 6530, AU",-28.803503,114.68668,,"CityHive, 184 Marine Terrace, Geraldton, WA, 6530, AU",-28.803503,114.68668
Hervey Bay Historical Village & Museum,"13 Zephyr St, Scarness QLD 4655, Australia",-25.283328,152.848539,ChIJVaH7kjeA7GsRlJfsPiRs1EY,,,,null,null,null,,"13 Zephyr St, Scarness QLD 4655, Australia",-25.283328,152.848539
Temora Rural Museum,"29 Junee Rd, Temora NSW 2666, Australia",-34.4570578,147.5347062,ChIJZ5yTcyMPGWsRJP1vKQQ9ZzQ,,,,null,null,null,,"29 Junee Rd, Temora NSW 2666, Australia",-34.4570578,147.5347062
National Anzac Centre,"67 Forts Rd, Mount Clarence WA 6331, Australia",-35.0313597,117.9127739,ChIJOyhKS2YnOSoRqSoGvHhseGA,,,,null,null,null,,"67 Forts Rd, Mount Clarence WA 6331, Australia",-35.0313597,117.9127739
Monarto Safari Park,"Old Princes Hwy, Monarto South SA 5254, Australia",-35.1174914,139.1390763,ChIJ4R9PbAUTt2oR8Ge6RVU2Aw8,,,,null,null,null,,"Old Princes Hwy, Monarto South SA 5254, Australia",-35.1174914,139.1390763
Dutch Australian Cultural Centre,"85 Market St, Smithfield NSW 2164, Australia",-33.847289,150.933354,ChIJrcPLrceXEmsR0PZ8bBgknyQ,,,,null,null,null,,"85 Market St, Smithfield NSW 2164, Australia",-33.847289,150.933354
COMMISSARIAT STORE MUSEUM,"115 William St, Brisbane City QLD 4000, Australia",-27.473276,153.0241796,ChIJ4dtvcgVakWsR6eb57-p6c88,,,,null,null,null,,"115 William St, Brisbane City QLD 4000, Australia",-27.473276,153.0241796
"Tilligerry Arts Group, Inc (TAG GALLERY)","13 Meredith Ave, Lemon Tree Passage NSW 2319, Australia",-32.7320451,152.0358004,ChIJHd_xUYp5c2sRj7t9ZjDNWCc,,,,null,null,null,,"13 Meredith Ave, Lemon Tree Passage NSW 2319, Australia",-32.7320451,152.0358004
Darebin Arts,"189 High St, Northcote VIC 3070, Australia",-37.774503,144.9977282,ChIJQ1n5sHtD1moRQAn1LZH6dv0,,,,null,null,null,,"189 High St, Northcote VIC 3070, Australia",-37.774503,144.9977282
Chapman Valley Museum,"Lot 100 East Terrace, Nanson WA 6532, Australia",-28.5607756,114.7593544,ChIJF_FbJYVT2isRXZILTlboIRg,,,,null,null,null,,"Lot 100 East Terrace, Nanson WA 6532, Australia",-28.5607756,114.7593544
Cascade Art,"1A Fountain St, Maldon VIC 3463, Australia",-36.9970444,144.0668787,ChIJrVrIJVnL0GoReY3PmHnFP64,,,,null,null,null,,"1A Fountain St, Maldon VIC 3463, Australia",-36.9970444,144.0668787
Ab. Fab. Ceramics,"107 Helmsman Blvd, St Huberts Island NSW 2257, Australia",-33.493544,151.344585,ChIJKz6wTb-0cmsRnzcmNRQET8Y,,,,null,null,null,,"107 Helmsman Blvd, St Huberts Island NSW 2257, Australia",-33.493544,151.344585
Canberra Reptile Zoo,"O'Hanlon Pl, Nicholls ACT 2913, Australia",-35.19075,149.082721,ChIJ3-3u4L2sF2sRBtM8CRuvpsQ,,,,null,null,null,,"O'Hanlon Pl, Nicholls ACT 2913, Australia",-35.19075,149.082721
Chris Cox Art,"72 Taralga Rd, Goulburn NSW 2580, Australia",-34.7273333,149.7413466,ChIJRZKWCxqvFmsRkxsQ0qLPxzc,,,,null,null,null,,"72 Taralga Rd, Goulburn NSW 2580, Australia",-34.7273333,149.7413466
Emerald Show Society,"Skillshare Bldg Capricorn Hwy, Emerald QLD 4720, Australia",-23.5234841,148.1523932,ChIJVeMiEoDKyGsRxFvpFLGuMDg,,,,null,null,null,,"Skillshare Bldg Capricorn Hwy, Emerald QLD 4720, Australia",-23.5234841,148.1523932
Landsborough Art Studio,"187 Hardwood Rd, Landsborough QLD 4550, Australia",-26.825409,152.975096,ChIJico-DXOFk2sROCEThme6iZA,,,,null,null,null,,"187 Hardwood Rd, Landsborough QLD 4550, Australia",-26.825409,152.975096
Horus & Deloris Contemporary Art Space,"31 Admiralty Rd, Singapore 739984",1.445328,103.7764404,ChIJa2TXYMQT2jERQ2Pxx452Y5w,,,,null,null,null,,"31 Admiralty Rd, Singapore 739984",1.445328,103.7764404
Angela Sparks Gallery,"3/50 Hudsons Rd, Spotswood VIC 3015, Australia",-37.8297205,144.886906,ChIJy-VBNTpn1moRy89J83UehP0,,,,null,null,null,,"3/50 Hudsons Rd, Spotswood VIC 3015, Australia",-37.8297205,144.886906
McKellars Picture,"175 Corio St, Shepparton VIC 3630, Australia",-36.3811005,145.4035252,ChIJ881R5veD2GoR91mhvzO4VeE,,,,null,null,null,,"175 Corio St, Shepparton VIC 3630, Australia",-36.3811005,145.4035252
Inverell Pioneer Village,"Inverell Pioneer Village, 64 Tingha Rd, Inverell NSW 2360, Australia",-29.7869477,151.1219332,ChIJExfqZbTwoWsRaqRTEzNzxn8,,,,null,null,null,,"Inverell Pioneer Village, 64 Tingha Rd, Inverell NSW 2360, Australia",-29.7869477,151.1219332
Pelican Sculpture Studios,"106 Moore St, Coburg VIC 3058, Australia",-37.755085,144.976424,ChIJXwHtaqRE1moRuKPsVXBkdAk,,,,null,null,null,,"106 Moore St, Coburg VIC 3058, Australia",-37.755085,144.976424
Clarendon Museum,"Grants Gully Rd, Clarendon SA 5157, Australia",-35.1088309,138.6283347,ChIJ88Vy-8HXsGoRruExxrwz_9Y,,,,null,null,null,,"Grants Gully Rd, Clarendon SA 5157, Australia",-35.1088309,138.6283347
TERRY DAVIES CERAMICS,"Via Pino Scarpeto 73, 50052 Certaldo FI, Italy",43.5834294,11.0825311,ChIJv_DNKBJHKhMRTs7srjsTD5c,,,,null,null,null,,"Via Pino Scarpeto 73, 50052 Certaldo FI, Italy",43.5834294,11.0825311
North Pine Trades,"907 Dayboro Rd, Whiteside QLD 4503, Australia",-27.2622854,152.9533343,ChIJc2QITpD7k2sRkS1RLVgY0dU,,,,null,null,null,,"907 Dayboro Rd, Whiteside QLD 4503, Australia",-27.2622854,152.9533343
ACT Bus,"126 Cairnhill Rd, Singapore 229707",1.3085291,103.8374519,ChIJW0h5zuwZ2jERotFREPcnTs0,,,,null,null,null,,"126 Cairnhill Rd, Singapore 229707",1.3085291,103.8374519
Tamworth & District Family History Group Inc,"Tamworth NSW 2340, Australia",-31.092748,150.9320334,ChIJH9ZCOLaYCmsRcClEkLQJBgU,,,,null,null,null,,"Tamworth NSW 2340, Australia",-31.092748,150.9320334
ICarveit,"5 Tibshelf Pl, Carine WA 6020, Australia",-31.8498517,115.7686349,ChIJ3-Z8dBJWKSsRtI6wvJe6qNk,,,,null,null,null,,"5 Tibshelf Pl, Carine WA 6020, Australia",-31.8498517,115.7686349
Cultural Sector Digital Asset Management,"Unit 127/757 Bourke St, Docklands VIC 3008, Australia",-37.8190441,144.9480327,ChIJJUcB8Vpd1moR9WsHW4bbgns,,,,"null, Melbourne, null, null, AU",-37.803425,145.01105,,"null, Melbourne, null, null, AU",-37.803425,145.01105
Cobb Co Museum,"27 Lindsay St, Toowoomba City QLD 4350, Australia",-27.5554249,151.9649372,ChIJa0xD6jtclmsRAHgU253tbBc,,,,null,null,null,,"27 Lindsay St, Toowoomba City QLD 4350, Australia",-27.5554249,151.9649372
Bank Art Museum Moree,"25 Frome St, Moree NSW 2400, Australia",-29.463293,149.84261,ChIJe9CGsVNToWsRkVVnqsR0R38,,,,null,null,null,,"25 Frome St, Moree NSW 2400, Australia",-29.463293,149.84261
National Vietnam Veterans Museum,"25 Veterans Dr, Newhaven VIC 3925, Australia",-38.520786,145.324475,ChIJnUuCQoXy1WoRCPEPKP1w4N0,,,,"25 Veterans Dr, Newhaven, Vic, 3925, AU",-38.520668,145.37167,,"25 Veterans Dr, Newhaven, Vic, 3925, AU",-38.520668,145.37167
Newcastle Museum,"6 Workshop Way, Newcastle NSW 2300, Australia",-32.9260156,151.7722933,ChIJl5Cg_E8Uc2sRBZxW7M_G6sQ,,,,null,null,null,,"6 Workshop Way, Newcastle NSW 2300, Australia",-32.9260156,151.7722933
Monash University Museum Of Art,"Building F, Monash University, Caulfield campus, 900 Princes Hwy Service Rd, Caulfield East VIC 3145, Australia",-37.8768773,145.0460755,ChIJL4QMmMtC1moRLR1UN01-T0o,,,,null,null,null,,"Building F, Monash University, Caulfield campus, 900 Princes Hwy Service Rd, Caulfield East VIC 3145, Australia",-37.8768773,145.0460755
