Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Country
SRA Information Technology,null,"SRA Information Technology is a specialist software company.  We are the leading global provider of quality business software solutions and environmental data management systems. Our business is 25 years old, employs over 100 staff and serves more than 350 clients worldwide with offices in Adelaide, Canberra, Perth, Brisbane, Darwin and Singapore, we provide our services wherever our clients require them. With three distinct business units; Environmental Software, Software Solutions and Placement Services we are able to provide solutions tailored to our clients'​ needs. Environmental Software: deploys and supports our world leading EnviroSys application for Environmental and Water Quality data management to tier 1 & 2 Mining, Oil & Gas, Resources, Utilities & Government Clients. Software Solutions: create bespoke solutions for clients with no compromise. Incorporating: planning and advisory, custom software development, business analytics and service management. We are able to consult on, build, enhance, support and maintain mission critical business systems. Placement Services: offer professional ICT services deployed to client teams for medium and long-term periods.  SRA maintain a pool of accredited resources including project managers, business analysts, architects, developers, testers, consultants and administrators ready to be deployed to our clients'​ teams. We partner with Amazon Web Services, Microsoft, Tibco, Sitecore, SAP, Joget and others to ensure our clients have access to solutions, knowledge and technical innovation second to none.Our Vision is: To be the leaders in global delivery of information management solutions to GOVERNMENT AND ENTERPRISE creating significant positive impact on environment, resources, energy and community. Our Mission is: Through innovation, experience and proven methodology we enable organisations to operate LEANER FASTER SMARTER by saving time, reducing costs, mitigating risk and improving performance.",08 8215 9000,IT and Services,51-200 employees,http://www.sra.com.au,"Parap, Northern Territory",Privately Held,null,https://www.linkedin.com/company/sra-information-technology/,"One Raffles Place Tower 2, Level 19, Raffles Place, 1, Singapore 048616",1.284358,103.8510616,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
InterSystems Asia Pacific,"383 Kent St, Level 12, Sydney, NSW 2000, AU","InterSystems is the information engine behind the world's most important applications in healthcare, business and government. Everything we build is designed to drive better decisions, actions, and outcomes for the people who stake their lives and livelihoods on our technology. We believe software should be interoperable, reliable, intuitive, and scalable. This IRIS principle guides all our software development.Our data platform and connected care solutions have received global industry recognition including the Leader position in the Gartner Magic Quadrant and Best in KLAS awards from KLAS Research, among other honors. InterSystems is privately held – enabling us to devote all our attention to our customers. Our products include:•InterSystems IRIS Data Platform, a complete data management, interoperability, and analytics platform for data-rich, mission-critical solutions •InterSystems TrakCare, a unified healthcare information system•InterSystems HealthShare, a health informatics platform and solution family for connected care•InterSystems Caché, a high-performance multi-model operational database management system•InterSystems Ensemble, a seamless platform for rapidly developing connectable applications",null,IT and Services,"1,001-5,000 employees",http://InterSystems.com.au,"Sydney, NSW",Privately Held,null,https://www.linkedin.com/company/intersystems-apac/,"1/747 Lytton Rd, Murarrie QLD 4172, Australia",-27.4573968,153.0976364,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Collabtech Group,null,"Global Collaboration Experts that provide best in class, physical and virtual, consistent enablement services in over 110 countries.",null,IT and Services,201-500 employees,http://www.collabtechgroup.com,"Mesa, Arizona",Privately Held,null,https://www.linkedin.com/company/collabtechgroup/,"7645 E Ray Rd Ste 125, Mesa, AZ 85212, United States",33.3274387,-111.6651804,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Max Kelsen,"39 Kennigo St, Brisbane, Queensland 4000, AU","- AWS Data, Analytics and Machine Learning Partner of the Year- Domino's Business Partner of the Year - Digital Marketing & Technologies- #29 in Deloitte Technology Fast 50 2020 APACMax Kelsen is a Machine Learning and Artificial Intelligence solutions company. We are unrivalled experts in Machine Learning research, development and implementation at scale, from conducting medical research to deploying state-of-the-art models and AI-powered applications for Fortune 500 companies.We deploy specialised Machine Learning systems to automate manual workflows, extract value from your own internal data at scale, and create personalised ways for you to engage with your customers. Machine Learning is no longer just a novelty, but a necessity in the modern business world - unlock the power of Artificial Intelligence and make it work for you and your business.",null,IT and Services,11-50 employees,https://maxkelsen.com,"Brisbane, Queensland",Privately Held,null,https://www.linkedin.com/company/maxkelsen/,"39 Kennigo St, Spring Hill QLD 4000, Australia",-27.4563521,153.030004,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Redbox Digital,null,"Redbox, part of the SQLI Group, is a global digital commerce and design consultancy.  We create exceptional ecommerce experiences exclusively on Magento for some of the best-known and admired B2B and B2C brands including Nespresso, Sephora, Universal Music Group, Les Ambassadeurs, Paperchase, Nestle, The Folio Society, Bucherer, Chapel Down, AXA and Screwfix.For more information visit www.redboxdigital.com.",+44 207 183 1833,IT and Services,51-200 employees,http://redboxdigital.com/,"London, England",Privately Held,null,https://www.linkedin.com/company/redbox-digital/,"229 Mountbatten Rd, Singapore 398007",1.307532,103.881287,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GeoSLAM,null,"GeoSLAM makes it easy to capture and connect data from the world around us. From the built environment to the natural world, GeoSLAM technology gives people the power to collect geospatial data from some of the most difficult environments, whether they are indoor, outdoors, underground - everywhere.  Pioneering highly versatile and adaptable solutions using 3D SLAM (Simultaneous Localization And Mapping) technology, the GeoSLAM family of geospatial hardware and software solutions provide rapid and easy mapping, and highly-accurate monitoring solutions.    GeoSLAM technology is used globally by anyone needing to create a digital twin of their world, quickly and accurately. Some of the most recognisable locations scanned by GeoSLAM technology include the Sydney Opera House, Lincoln Memorial and Arc du Triomphe – all without bulky equipment, or long set up times GeoSLAM has an expanding network of eight global offices, over 70 distributors, with a presence in 53 countries across six continents. For more information, visit www.geoslam.com.",01949 831814,IT and Services,51-200 employees,https://geoslam.com/,"Nottingham, United Kingdom",Privately Held,null,https://www.linkedin.com/company/geoslam/,"Innovation House, Ruddington Fields Business park, Mere Way, Nottingham NG11 6JS, United Kingdom",52.8800921,-1.1422227,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tryzens,null,"Experts in eCommerce optimizationSince 2004, we've been trusted by retail’s biggest names to plan, implement and maintain eCommerce systems that drive business performance, and to develop multichannel retail experiences that customers love.As eCommerce experts, our mission is to transfer the science and skills of selling online to our clients. We enable them to enhance their business results across all channels through exceptional customer experience and effective eCommerce systems.We help maximise revenues, streamline operations with our vast retail sector experience and align online trading with broader commercial objectives. We take a collaborative, insight-led approach, delivering the best possible outcomes at every step of the digital commerce journey.We’re trusted by retail’s biggest names to deliver complex, award-winning digital solutions. From Cotton On Jack Wills, Annoushka and JosephJoseph we've delivered over 100 solutions across the globe.We have a platform-neutral approach working with the world’s leading technology partners (Salesforce Commerce Cloud, Magento, Hybris and IBM Websphere) to develop robust, flexible solutions that will grow with businesses. We tailor a true ‘best fit’ solution that takes into account existing infrastructures, investment capacity, commercial objectives and growth strategies.Headquartered in London, with offices in Australia, Bulgaria and India, Tryzens has over 200 employees.Twitter: @tryzensFacebook: tryzens",null,IT and Services,201-500 employees,https://tryzens.com/,"London, England",Privately Held,null,https://www.linkedin.com/company/tryzens/,"Technopark Campus, Kazhakkoottam, Kerala 695581, India",8.5611412,76.8771807,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Jacobi,null,"Financial technology enabling investment management teams to customize and scale multi-asset portfolio design.

Aggregate your intelligence to analyze asset allocation and portfolio risk and return, then instantly amplify your story on one cloud platform.",null,IT and Services,11-50 employees,http://www.jacobistrategies.com,"San Francisco, California",Privately Held,null,https://www.linkedin.com/company/jacobi-strategies/,"Taman Universiti, 81300 Johor Bahru, Johor, Malaysia",1.529849,103.620078,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
NetStrategy Pty Ltd,null,"NetStrategy is one of the largest and most experienced ICT consulting and managed services practices in Australia, with unmatched specialist knowledge arising from thousands of engagements over three decades. More than just system integrators, NetStrategy is widely regarded for its client first rather than vendor-led approach. Known for its ability to deliver on complex or unusual infrastructure requirements, NetStrategy consultants are regularly brought in to remediate stalled or failed projects owing to their deep technical knowledge and passion for problem solving. NetStrategy has an extensive range of corporate and government clients with particular domain experience in education, not-for-profit and healthcare.",null,IT and Services,51-200 employees,http://www.netstrategy.net,null,Privately Held,null,https://www.linkedin.com/company/netstrategy-pty-ltd/,"level 5/165 Walker St, North Sydney NSW 2060, Australia",-33.8374014,151.2094247,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Capital Numbers,null,"Capital Numbers is an ISO 9001 and ISO 27001 certified digital solutions company with 400+ experts working full time across 3 Delivery Centres. Established in 2012, Capital Numbers are headquartered in Kolkata, India, with offices in the USA, Sweden, and Australia. We are winners of multiple awards and accolades from organizations like CII, Clutch, GoodFirms, Deloitte, Financial Times, Economic Times, and Bengal Chamber of Commerce. Our innovative “In-Demand Skills, On-Demand” allows businesses to ramp up their team for Web, Mobile, DevOps, AI/ML, or UI/UX Development needs. We serve companies ranging from start-ups and SMEs to global brands from all across the world. Our industry expertise includes digital publishing, SaaS applications, online retail, financial services, travel and consumer, software and hi-tech, business information and media, life sciences and healthcare, as well as other emerging industries. Our primary aim is to provide our clients with quality services, customer-specific technologies, and comprehensive expertise.",-67992164,IT and Services,"501-1,000 employees",https://www.capitalnumbers.com,"Kolkata, West Bengal",Privately Held,null,https://www.linkedin.com/company/capitalnumbers/,"Mani-Casadona IT Building, East Tower, Unit No 8E4, 8th floor Plot #2 F/4, Action Area I, #2 F, Newtown, Kolkata, West Bengal 700156, India",22.5847494,88.4867965,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
UHG (Unified Healthcare Group),null,"Over the past two decades, has built Australia's leading marketplace connecting Business & Healthcare Providers.We create innovative solutions using our medEbridge platform and our marketplace of healthcare providers to enable you to achieve your business objectives.  medEbridge allows businesses to access GPs, Specialists, Nurses, Allied Health Providers and more. Our business customers include life insurers, compulsory third party insurers, workers compensation insurers, legal firms, employers and government agencies. Current information and services procured include treating doctor reports, medical file copies, independent medical examinations, peer reviews, medical advice, health assessments, eForms, vaccinations and tele-interviews.",null,IT and Services,201-500 employees,http://www.uhg.com.au,"Prahran, VIC",Privately Held,null,https://www.linkedin.com/company/unified-healthcare-group/,"205 Chapel St, Prahran VIC 3181, Australia",-37.8512506,144.9933302,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Groupe LGM,null,"Innovative Solutions in Management and Engineering Systems for Industry: 
- Programme Management
- Maintenance Engineering
- RAMS (Reliability, Availability, Maintainability,Safety)
- Electronics Engineering and Design
- Technical Publications and Training engineering",null,IT and Services,"1,001-5,000 employees",http://www.lgmgroup.fr,"Vélizy-Villacoublay, Paris Area",Partnership,null,https://www.linkedin.com/company/lgmgroup/,"Bâtiment ADER, 13 Avenue Morane Saulnier, 78140 Vélizy-Villacoublay, France",48.7830697,2.211415,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Seven Consulting,null,"We are a team of delivery professionals providing Project and Program management consultancy services. Our clients primarily engage us to take responsibility for program delivery and/or program office management. We also provide related services such as external program reviews or delivery capability uplift. Our track record is consistently over 98% customer satisfaction. Our clients trust us. Our first clients are still trusting us with their most important projects and programs. For more on Seven Consulting, please go to:www.sevenconsulting.com",null,IT and Services,51-200 employees,https://www.sevenconsulting.com,"Sydney, NSW",Privately Held,null,https://www.linkedin.com/company/sevenconsulting/,"420 North Bridge Road,#05-28, North Bridge Center, Singapore 188727",1.3058379,103.8636889,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Kinetic IT,null,"Kinetic IT has come a long way since opening its doors in 1995, emerging as one of Australia’s leading ICT managed services providers.  A proud Australian-owned company, Kinetic IT’s operations spread across the country with offices located in Western Australian, the Northern Territory, Victoria and New South Wales. Our team of more than 1200 experienced staff deliver quality services to large and complex IT environments across a range of industries, including government, corporate, resources and utilities sectors. 

We value our longstanding relationships with our customers, striving to provide tailored services aligned with each individual organisation’s vision.  A key component of Kinetic IT’s success has been its dedication to proven processes and frameworks. As one of Australia’s first adopters of ITIL Service Management methodologies, we continue to deliver training programs to the rest of the ICT industry as an accredited training provider and examination centre. 

Kinetic IT’s people-focused culture ensures we maintain a vibrant and dynamic workplace that embraces both teamwork and individuality. We provide ample training opportunities and dedicated career paths for our staff, making us a recognised employer of choice.",null,IT and Services,"1,001-5,000 employees",http://www.kineticit.com.au,"Perth, WA",Privately Held,null,https://www.linkedin.com/company/kinetic-it/,"35 Kallang Pudding Road, #02-04, A Tong Lee Building, Singapore 349314",1.3296512,103.8781242,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Enable Professional Services,null,"Enable is a pure-play ServiceNow consultancy—100% dedicated to the delivery of ServiceNow advisory, consulting and delivery services. With more than 250 consultants in our ServiceNow practice, we’re the most qualified, certified and capable ServiceNow partner in the APJ region.We’ve been recognised as ServiceNow’s Global Services Excellence Partner of the Year and 2020 APJ Elite Partner of the Year. And our fast growth has been highlighted by our 3 time CRN Fast50 achievements in 2017, 2018, 2019.Our focus is enterprise service management, and we have deep knowledge of and experience in digital and business transformation. Enable has dedicated practices in Customer Service Experience, IT Transformation, Employee Service Experience and Integrated Risk Management. We also have Innovation and Organisational Change Management practices that are intrinsic to everything we do. Our Principal Consultants and consulting and delivery team bring many years of experience and innovation across all ServiceNow modules, including HR, GRC, SecOps, CSM, ITOM, ITBM and ITSM.Headquartered in Australia, we have offices in Melbourne, Sydney, Adelaide, Perth and Brisbane, plus centres of excellence (with development teams) in Noida and Bangalore, India. We cover the south and north Asia markets through our offices in Singapore, Hong Kong, Thailand and Malaysia.",null,IT and Services,201-500 employees,http://www.enableps.com/,"Melbourne, Victoria",Privately Held,null,https://www.linkedin.com/company/enable-professional-services/,"15 Beach Rd, 2nd floor, Singapore 189677",1.2958614,103.8555479,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Odysseus Solutions,null,"Odysseus Solutions is a Miami based Travel Technology Company providing the most comprehensive and innovative online booking solutions available in the market today.  The unique custom business solutions we design result in operational efficiency and reduced costs for our clients.  Odysseus Solutions was founded in 2005 to fill the industry need for an online travel booking engine that automates processes and is easily customized to support a client’s unique brand identity.

We organized a working group of developers, suppliers and travel agents and used a collaborative approach to design and develop the ultimate travel booking engine.  The result was the Odysseus Booking Engine, one of the most complete and advanced online travel booking engines available today.  Fully customizable, this Business to Business (B2B), Business to Consumer (B2C) and Business to Business to Consumer (B2B2C) application will automate processes and increase revenues while it reduces the time and effort required to complete a transaction.

Our applications are designed to meet the unique requirements of Global Marketplaces and can easily handle multiple currencies as well as multiple languages.  In addition to North America, we provide online booking solutions to clients based in Central & South America, Australia, Europe, Asia and the Middle East.   The “state of the art” technology we use helps us design, develop and deliver flexible & fully scalable applications that easily grow with your business while maintaining your unique identity. Odysseus Solutions is all about innovative technology, collaboration and superior customer service!",null,IT and Services,51-200 employees,http://www.OdysseusSolutions.com,"Miami, Florida",Partnership,null,https://www.linkedin.com/company/odysseus-solutions/,"Golden Gate Properties, 80 Feet Rd, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095, India",12.942427,77.6223856,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
EstimateOne,"Level 1, 176 Bridge Road, Richmond, VIC 3121, AU","EstimateOne is a tender management platform connecting commercial builders and subcontractors.  More than 40,000 organisations have used the platform in the last 12-months to tender over 7,500 projects worth $52 billion.Join EstimateOne today with a free, basic account.  Visit our website (www.estimateone.com) or call us on 1300 70 50 35.",1300 705 035,IT and Services,51-200 employees,http://www.estimateone.com,"Richmond, VIC",Privately Held,null,https://www.linkedin.com/company/estimateone-pty-ltd/,"G4/29 Stewart St, Richmond VIC 3121, Australia",-37.8233999,144.9908736,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Fintellix Solutions,null,"Verisk Financial | Fintellix, a Verisk Analytics business (NASDAQ:VRSK), is a leading provider of data management platform, regulatory technology, supervisory technology, compliance management, risk management and analytical solutions to the banking and financial services industry. Our industry expertise together with our data management and analytical proficiency, enables us to solve complex data management, risk, regulatory and business issues in banks and financial services organizations.  We help maximize the value of data by transforming it into insightful information and analysis that assist our clients in understanding their business performance, managing and mitigating risks, and meeting compliance requirements while helping them stay ahead in the digital era. Our data platform is highly scalable and can be implemented to manage the entire lifecycle of data for both regulated entities and regulators/ supervisors. Our risk and regulatory solutions help banks and financial services organizations meet compliance requirements for a specific jurisdiction or as a multi-country rollout. Our data platform, risk and regulatory solutions are continuously kept updated, and can be deployed on relational database, appliances, on cloud, and on big data.We have our offices in USA, UK, India, UAE, Singapore, Australia and South Africa. We work with leading and progressive banks and financial services organization in over 30 countries, as well as leading regulators/ supervisors globally.",null,IT and Services,201-500 employees,http://www.fintellix.com,"Bangalore, Karnataka",Public Company,null,https://www.linkedin.com/company/fintellix-solutions/,"5, 10, 17th A Main Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India",12.9337326,77.6179995,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
