Company Name,Location,Industry,Company Size,Website,Headquarter,Linked In URL,Type,Latitude,Longitude,Country,Overview,Founded
Reset Australia,"Sydney,   AU",non-profit,2-10 employees,https://au.reset.tech/, ,https://www.linkedin.com/company/ausreset/,Nonprofit,150.999831,-33.729026,AU,"We are the Australian affiliate of Reset, the global initiative working to counter digital threats to democracy.",2019
Open Doors Australia,"Gladstone Rd, Castle Hill, New South Wales 2154, AU",non-profit,11-50 employees,http://www.opendoors.org.au,"Castle Hill, New South Wales",https://www.linkedin.com/company/opendoorsau/,Nonprofit,153.488649,-28.136138,AU,"Our mission is to strengthen and prepare Christians living in persecution, and to mobilise the Australian church to identify with the global body of Christ.We work in over 70 countries supporting Christians who are persecuted for their faith in Jesus. Through local partners and long-term relationships, we partner with people who know and understand what is needed to see the church strengthened and the gospel proclaimed.We partner with Christians and local churches in Australia, to ensure that the persecuted church is remembered in every church, every Bible study and every home.",1955
National Trust of Australia (Queensland),"28 Tomewin Street, Currumbin, Queensland  4223, AU",non-profit,"501-1,000 employees",https://nationaltrustqld.org.au/,"Currumbin, Queensland",https://www.linkedin.com/company/national-trust-of-australia-queensland/,Nonprofit,146.814815,-19.259749,AU,"National Trust of Australia (Queensland) is a not-for-profit organisation and member-based charity which offers people the opportunity to feel connected to significant places, collections and stories. We advocate for the recognition and care of Australian heritage and have more than 1000 volunteers and employees state-wide who manage our properties from Currumbin to Cooktown.The National Trust of Australia (Queensland) was established by state legislation in 1963 as a member-based charity. In 2014, the National Trust transitioned to a public company limited by guarantee, a registered charity still, independent of State and Federal governments.We are governed by an independent Board of Directors supported by various Advisory Committees including the National Trust Currumbin Wildlife Sanctuary; Audit and Risk; Advocacy and Collections Committees. We acknowledge the tireless work of our staff and volunteers and the regional Branch Committees acrossQueensland.Members of the National Trust of Australia (Queensland) are entitled to vote for Directors at the Annual General Meetings. We partner with many community organisations and other Australian charities to achieve our mission.",1963
Australian Community Counselling Association Inc.,"Level 3, 334 Flinders Street, Townsville, QLD 4810, AU",non-profit,2-10 employees, ,"Townsville, QLD",https://www.linkedin.com/company/australian-community-counselling-association-inc-/,Nonprofit,145.095012,-37.825509,AU,"Australian Community Counselling Association Inc. (ACCA) is a Not-for-Profit organisation, that has been put together as a refreshing intergration of community good will and desire to represent the thousands of Counsellors across Australia as their personal Association. Our aims are simple, to provide a membership service that both provides support to Counsellors in the field and aims to address issues raised in the Senate Committee Report 2006 6.123 ""A national approach to mental health - from crisis to community'​'​

Our mandate is to recognise National Qualification benchmarks set by Industry and provide a mechanism for the ongoing development of industry practices in Counselling. This benefits, primarily, the Australian Public and Employers who seek quality vetted Professional Counsellors. The ACCA ensures that Qualifications, Experience and Background checks have been properly conducted for each Counsellor and that the appropriate level of membership is approved for members on that basis. 

The ACCA is committed to providing a truly representative Counselling Association for the whole community and a strong focus of the Association is dedicated to representing Indigenous Counsellors, and SEWB Counsellors / Workers. One of the objectives of the ACCA is to promote reconciliation and healing for our first Australian's, using the tools and professional skills of our front-line Counsellors, who are uniquely placed to do great work in this area.

Join us today!",2008
Epilepsy Foundation of Australia,"587 Canterbury Rd, Surrey Hills, Melbourne, Victoria 3127  , AU",non-profit,201-500 employees,http://epilepsyfoundation.org.au/,"Melbourne, Victoria",https://www.linkedin.com/company/epilepsy-foundation-of-australia/,Nonprofit,145,-20,AU,"The Epilepsy Foundation uses evidence-based practice to stop avoidable deaths, ensure children get a good education, help people get and keep their jobs and help people feel safe and connected.A good understanding of epilepsy is the key to achieving these outcomes.The Epilepsy Foundation believes no one should go it alone with epilepsy.We Are Creating an Epilepsy Smart AustraliaResearch shows that, despite the condition's prevalence, 90% of Australians don't have access to the epilepsy support they need. With support from the Australian Government, the Epilepsy Foundation will take our work to a national scale through a new program titled Epilepsy Smart Australia.  We are expanding our delivery of services that will reduce the chronic health impacts experienced by Australians of all ages living with epilepsy.We Support People Living with EpilepsyEvery case of epilepsy is unique and everyone with epilepsy will need some form of support in their life. The Epilepsy Foundation works to ensure that:all people with epilepsy have access to information relevant to their age and conditionemployers understand epilepsy and how to respond to the needs of their people living with epilepsyteachers understand children's epilepsy and how to ensure they achieve a better educationpeople understand and manage their epilepsy wellsociety understands epilepsy so that people with the condition feel connected and included in the community.We do this by delivering support programs for people and families living with epilepsy, education and training tailored for individuals, families, schools, workplaces and community settings,information and resourcescommunity awareness programsWe Are Leading the Charge for a CureThe Epilepsy Foundation is driving the search for a cure.  With a seeding investment of $2 million from the Australian Government, we have established the Australian Epilepsy Research Fund.",1964
Regional Development Australia Townsville and North West Queensland Inc,"Level 1, Enterprise House, 6 The Strand, Townsville, Townsville, Queensland 4810, AU",non-profit,2-10 employees,http://www.rdanwq.org.au,"Townsville, Queensland",https://www.linkedin.com/company/regional-development-australia-townsville-and-north-west-queensland-inc/,Nonprofit,146.8245685,-19.25561287,AU,"Regional Development Australia (RDA) Townsville and North West Queensland (T&NWQ)  is part of a network of 52 committees around Australia that focus on developing and promoting the economic development interests of regional communities. RDA committees work in partnerships with all three levels of government to facilitate initiatives that contribute to the long term sustainability of their regions. Operational funding is provided by the Federal Government and projects are funded through partnerships.RDA T&NWQ covers the 15 local governments in North Queensland and North West Queensland and Boulia - stretching north to Mornington Island and east to Townsville, Palm Island, Burdekin and Hinchinbrook.The current major project being led by RDA T&NWQ is the Inland Queensland Roads Action Plan (IQ-RAP) - a regional economic development initiative based on an alliance of 49 funding partners including 33 local governments across 82% of Queensland, 8 Regional Roads and Transport Groups, 5 RDA committees and RACQ.  For more information visit www.rdanwq.org.au",2009
Women in Technology Australia,"Delhi Road, 32, Macquarie Park, New South Wales 2113, AU",non-profit,2-10 employees, ,"Macquarie Park, New South Wales",https://www.linkedin.com/company/women-in-technology-australia/,Privately Held,151.207973,-33.868125,AU,"Our goal is to create a page and following for Women in Technology in Australia and New Zealand. Helping our followers with the latest news , links to new roles and to proven recruiters. We will also provide relevant information to help our women succeed in their technology careers. Our ultimate aim: Let's increase the number of women embarking on a career in the world of Technology.",2019
Australian Esports Association,"Sydney, New South Wales 2000, AU",non-profit,2-10 employees,http://www.aesa.org.au,"Sydney, New South Wales",https://www.linkedin.com/company/australianesportsassociation/,Nonprofit,145.027045,-37.816346,AU,"The Australian Esports Association (AESA) was incorporated and formally established as a non-profit association in April 2013. It is a national body that is actively involved in the development of policy, planning, infrastructure and initiatives for esports in Australia.Currently the AESA board is comprised of six persons. All members of the board work on a voluntary basis with core services contracted out.The AESA is a member of the International Esports Federation (IeSF) as a national member representing Australia. Currently the IeSF comprises of over 47 nations and is signatory to the World Anti-Doping Agency and actively working towards SportAccord and International Olympic Committee recognition.Additionally the AESA is signatory to the World Cyber Arena (WCA) Global Esports Alliance and the World Esports Consortium (WeSCO), each collaborating to grow esports across the world.",2013
Institute of Public Administration Australia,"2617, AU",non-profit,2-10 employees,http://www.act.ipaa.org.au, ,https://www.linkedin.com/company/institute-of-public-administration-australia/,Nonprofit,153.026164,-27.469309,AU,We advance the discussion on improving public administration,null
Women's Forum Australia,"PO Box 267, Hawthorn, VIC 3122, AU",non-profit,2-10 employees,http://www.womensforumaustralia.org,"Hawthorn, VIC",https://www.linkedin.com/company/women's-forum-australia/,Nonprofit,145.127657,-37.820436,AU,"Women's Forum Australia is an independent think tank, striving to create pro-woman cultural change by informing and empowering women to make a difference.Our VisionAn Australian society that respects and promotes the dignity of all women.Our MissionTo be a powerful and positive force for pro-woman cultural change in Australian society through research, education, mentoring and advocacy.Please visit our website to find out more: www.womensforumaustralia.org",2005
PDA Australia,"Brisbane, QLD  AU",non-profit,2-10 employees,http://www.PDAaustralia.com.au,"Brisbane, QLD",https://www.linkedin.com/company/pdaaustralia/,Nonprofit,145.004061,-37.712408,AU,"Provide information, support, and training for individuals and families living and working with PDA. Pathological Demand Avoidance is a profile on the Autism Spectrum. Also known as Extreme Demand Avoidance.Our activities include:- Supporting discussions around people's experiences of living and working with PDA- Providing support to those living and working with PDA- Facilitating communication with individuals and professionals. (Advocacy) - Campaigning for greater recognition of the PDA profile of Autism in Australia- Providing training for different audiences including schools and allied health- Sharing good practice and supportive ideas- Developing new resources and tools which can aid understanding- Organising an annual PDA day on 15th May (collaborating with UK Themes)- Working in partnership with other organisations, providing PDA expertise, in order to improve services- Helping to increase understanding through research- Working towards PDA recognition in the Diagnostic and Statistical Manual of Mental Disorders (DSM).",2020
The Australian French Club,AU,non-profit,2-10 employees,http://www.frenchclub.com.au, ,https://www.linkedin.com/company/the-australian-french-club/,Nonprofit,149.06536,-35.235352,AU,Bringing together francophone and France lovers. The club membership is growing through a group of highly motivated friends loving Australia.,null
Australian Disability and Development Consortium,"56 Rutland Road, Box Hill, Victoria  AU",non-profit,2-10 employees,http://www.addc.org.au/,"Box Hill, Victoria",https://www.linkedin.com/company/australian-disability-and-development-consortium/,Nonprofit,115.847023,-31.956035,AU,"Who we are:The Australian Disability and Development Consortium (ADDC) is an Australian based network advocating for people with disabilities to be included across all international development work.Mission and Vision:We promote the rights and inclusion of people with disabilities in international development activities, and advocate for full integration of disability inclusion into all Australian development programs and policies. History:ADDC emerged from the Australian Council of International Development (ACFID) Disabilities and Development Working Group, in 2000. There was a need for cohesive efforts on disability-inclusion in international development work. The most effective way to carry out advocacy and capacity building is through a national network of agencies working on disability issues in developing countries: thus, ADDC officially launched in 2007.Wins:- Representation on the Australian aid program's Disability Inclusive    Reference Group. - Parliamentary functions, including launch of the World Report on Disability    and photo exhibition.- Represented at Pacific Forum Disability Ministers meetings.",2007
Australian Society of Energy & Power (ASEP),"Plenty Rd, Reservoir, VIC 3073, AU",non-profit,2-10 employees,https://sites.google.com/view/asep-org-au,"Reservoir, VIC",https://www.linkedin.com/company/asep-org-au/,Nonprofit,152.90754,-27.574701,AU,"About the Society:ASEP is an independent non-profit society that supports and fosters interest in energy & power and related disciplines. This is done by providing a forum for people with a common interest, and by publishing or promoting relevant material. The Society aims to actively represent the views of its members to Government, institutes and the public. It supports all those with an interest in energy & power including researchers and professionals. The ASEP is charged with overseeing and supporting the International Conference of Energy & Power (ICEP) series. The membership consists of those members of the Society who have indicated their wish to join the Society and who annually retain membership though the payment of designated dues. The ASEP was incorporated in Victoria, Australia on 1 March 2020.Who can be a member?Anyone who supports the aims of the Society, and has an interest in Energy & Power.How is the Society organized?The Society's affairs are run by Council and its committees, within the constraints of the Rules of the Society. Council consists of an executive comprising the President, Vice-President, Treasurer and Secretary; plus the immediate past President.Please visit our website for more information.",2020
Institute for Collaborative Working Australia,"9/7 Beissel St, Belconnen, Australian Capital Territory 2617, AU",non-profit,2-10 employees,https://www.instituteforcollaborativeworking.com/About/About-ICW,"Belconnen, Australian Capital Territory",https://www.linkedin.com/company/institute-for-collaborative-working-australia/,Nonprofit,149.0650685,-35.23515582,AU,"The Institute of Collaborative Working (ICW) is the international thought leader on the discipline of business collaboration. ICW Australia exists to promote the benefits of Collaborative Working to deliver sustainable value in business relationships in Australia and beyond. ICW Australia supports the Global ICW Mission to:- Be recognised and acknowledged as the thought leader on business collaborative working.- Carry out research to further develop collaborative working principles, practices and process.- Ensure the widespread development of collaborative working skills through training and development.- Progressively build a global collaborative working knowledge sharing community.",2019
Child Psychoanalytic Psychotherapy Association of Australia - CPPAA,"Melbourne,   AU",non-profit,11-50 employees,http://www.cppaa.org.au, ,https://www.linkedin.com/company/child-psychoanalytic-psychotherapists-association-of-australia/,Nonprofit,151.027793,-33.915815,AU,"The CPPAA is a professional body of Child and Adolescent Psychoanalytic Psychotherapists qualified to work with a range of developmental, behavioural and emotional problems.",null
Community Mental Health Australia,"Sydney,   AU",non-profit,2-10 employees,http://www.cmha.org.au, ,https://www.linkedin.com/company/community-mental-health-australia/,Nonprofit,144.95803,-37.684579,AU,"Community Mental Health Australia (CMHA) is a coalition of the eight peak community mental health organisations from each State and Territory and was established to provide leadership and direction to promote the importance and benefits of community mental health and recovery services across Australia.CMHA provides a unified voice for over 800 community-based, non-government organisations who work with mental health consumers and carers across the nation and who are members of, or affiliated with, the various coalition members.Coalition members of Community Mental Health AustraliaRepresenting the peak community mental health organisations from each State and TerritoryMental Health Coalition of South AustraliaMental Health Community Coalition of the ACTMental Health Coordinating Council NSWMental Health Council of TasmaniaNorthern Territory Mental Health CoalitionMental Health VictoriaQueensland Alliance for Mental HealthWestern Australian Association for Mental Health",null
HACCI WA - Hellenic Australian Chamber of Commerce & Industry (Western Australia),"Perth, Western Australia 6000, AU",non-profit,0-1 employees,http://www.hacciwa.com.au,"Perth, Western Australia",https://www.linkedin.com/company/hellenic-australian-chamber-of-commerce-and-industry-wa/,Nonprofit,151.242096,-33.911304,AU,"Established in 1987, HACCI WA was established to foster economic and business relations between Greece and West Australia's business communities, as well as between Hellenic-Australian professionals in Western Australia.Our objective as an organisation is:•To provide opportunities for persons of Hellenic descent in Western Australia, and their spouses.•To meet in a friendly and social environment where they can expand their business and professional opportunities.•To exchange information, share resources and network with like-minded people.•To foster commercial and cultural relations between Western Australia and the global Hellenic business community.#hacciwa #hellenicchamber #greekaustralia #hacci #networking#business #enterprise #greece #greek",2018
Wounded Heroes Australia,"221 Grindle Rd, Wacol, Queensland 4076, AU",non-profit,11-50 employees,https://www.woundedheroes.org.au/,"Wacol, Queensland",https://www.linkedin.com/company/wounded-heroes-australia/,Nonprofit,144.225311,-37.598719,AU,"Wounded Heroes Association is a national community organisationdoing whatever it takes to provide support to Australian servicemen and women and their families, to ease the financial, emotional and personal hardships of contemporary military life.This is principally done by providing short-term emergency relief payments to individuals and their families, although funds are also available for other purposes where a need exists.  The men and women of the Australian Defence Force answer the call of duty selflessly and without hesitation, and forfeit much during their service to Australia. They give more, risk more and sacrifice more, and in the event of wounds or injury, their lives will never be the same again.Standing behind these young men and women are their families. sSilent and supportive, they get on with everyday life during their loved one's absence, or convalescence after their return from operations. Australia owes these military personnel and their families a debt of gratitude for their service. Wounded Heroes Association Inc. is a Registered Australian Public Benevolent Institution.",2007
Indonesian Chamber of Commerce Western Australia,"28 Belmont Ave, Unit 16, Rivervale, Western Australia 6103, AU",non-profit,11-50 employees,http://iccwa.net.au/,"Rivervale, Western Australia",https://www.linkedin.com/company/iccwa/,Nonprofit,144.972179,-37.810093,AU,"Indonesian Chamber of Commerce Western Australia (ICCWA) is an independent not for profit organisation under the patronage of Consulate General of Republic Indonesia, as the voice of the Indonesian business community in Western Australia.",2020
ISLAMIC CHARITY PROJECTS ASSOCIATION - ICPA AUSTRALIA,"45 Brancourt Avenue, Bankstown, NSW 2200, AU",non-profit,2-10 employees,http://www.icpa.org.au,"Bankstown, NSW",https://www.linkedin.com/company/islamic-charity-projects-association---icpa-australia/,Nonprofit,150.417157,-34.475983,AU,"ICPA AUSTRALIA is a non profit organisation works for the commumity. Teaching islamic knowledge. Bulding schools. Looking after the youngs through different types of youth organisations such as: MYOT Muslim youth of Truth. 5th Bankstown scout group. Spears Sports Club. Chester Hill Youth Centre. ICPA CHANTING BAND. ICPA Kids Chanting Club. As-SALAM BOOK STORE.... and much more.
SEF Sydney Eid Festival is another organisation which ICPA organised to celebrat the annual Eid Festivals ( Eidul Fitr & Eidul Adha) where more than 10000 people from different nationalitis and back grounds get togethet on those days as well as politicians and local members and councillors attend the fedtivals which a to strengthes the social life between the communitis and build bridges with other cultures.",1990
Networks Australia Foundation,"4/1488 Sydney Rd, Campbellfield, Victoria 3061, AU",non-profit,11-50 employees,http://www.networksaustralia.org.au,"Campbellfield, Victoria",https://www.linkedin.com/company/networks-australia-foundation/,Nonprofit,153.026164,-27.469309,AU,"Networks Australia Foundation (NAF) is a non-profit organization run by a volunteer committee of good-will professionals, entrepreneurs, and students. NAF seeks to create a network of people from various businesses, professions, and trades, that are like-minded in good-will with the goal of focusing effort and resources to better a diverse Australian society. With unity, good thing can happen.

Our Vision is to grow community networks to achieve efficiency and promote high ethical standards and to provide a forum that connects people through shared values and common grounds. 

Our Mission is to network diverse communities through:
Mutual understanding
Sharing
Connecting
Communicating
Supporting
			
Our Values are to promote:	
Peace
Belief
Dignity
Compassion
Community
Tolerance				
Courage
Diversity",2014
Australia Society for Antimicrobials,"Australia,   AU",non-profit,2-10 employees,http://www.asainc.net.au, ,https://www.linkedin.com/company/asainc/,Nonprofit,138.575019,-34.923099,AU,"Since becoming an Incorporated Society in March 1999, ASA membership now covers a diverse background of professions interested in the study of antimicrobials including clinical microbiologists and infectious diseases physicians, respiratory and ICU physicians, medical and non-medical microbiologists and scientists, pharmacists, veterinarians, undergraduate and postgraduate students, and industry representatives from pharmaceutical and diagnostic/research biomedical companies.",1999
Tourette Syndrome Association of Australia,"Avoca St, Randwick, New South Wales 2031, AU",non-profit,0-1 employees,http://www.tourette.org.au,"Randwick, New South Wales",https://www.linkedin.com/company/tourette-syndrome-association-of-australia/,Nonprofit,153.006128,-27.483556,AU,"The TSAA is a non-profit, self-funded, registered charity run by volunteers — consisting of people with Tourette Syndrome (TS), their families, health and education professionals and other interested and concerned people.The association disseminates educational materials in the fields of health care, education and welfare service, provides telephone counselling and operates support groups. We support parent advocacy and other services to help families cope with problems that may occur with TS. The association publishes a quarterly newsletter.We continue to work towards seeking better treatments and improving the overall quality of life for people with TS.",1989
Australian Working Dog Rescue,"Ballan,   AU",non-profit,201-500 employees,http://www.workingdogrescue.com.au/, ,https://www.linkedin.com/company/australian-working-dog-rescue/,Nonprofit,144.962398,-37.813046,AU,"Australian Working Dog Rescue is a community based non-profit charity that works to rescue, rehabilitate and rehome working dog breeds and crosses of Australian origin by proactive action and promotion. Australian Working Dog Rescue engages and utilizes a large network of like minded people in its care, education, training and activity programs across most of Australia which is maintained and controlled by a single central hub in order to place the right dog in the right home, whether that be on the land or in an urban environment.",2007
Master Plumbers Australia and New Zealand, ,non-profit,201-500 employees,https://masterplumbersanz.com/,"Perth, WA",https://www.linkedin.com/company/masterplumbersanz/,Nonprofit,144.962398,-37.813046,AU,"Master Plumbers Australia and New Zealand (MPANZ) represents member Associations across Australia and New Zealand.We are the collective voice for the Australian and New Zealand plumbing industry and collaborate together on a national and international level. Members of MPANZ protect the health of our community and the environment through the delivery of professional plumbing services. The provision of these services is essential for community health and well-being. MPANZ represents plumbing contractors from sole operators to medium sized plumbing businesses and large contracting firms. MPANZ members are installers of gas, water reticulation and irrigation systems, fire protection services, heating and cooling, mechanical services/air conditioning systems, sanitary disposal, drainage, metal roofing, wall cladding and other plumbing services. The provision of these services is essential for community health and well-being.",null
Kilfinan Australia - Building not-for-profit leadership through mentoring and corporate relationships,"172/201 Spring Street, Melbourne , Victoria 3000, AU",non-profit,2-10 employees,http://kilfinanaustralia.org.au,"Melbourne , Victoria",https://www.linkedin.com/company/kilfinan-australia/,Nonprofit,151.249556,-33.891795,AU,"Kilfinan Australia was launched in 2014 and operates nationally in Australia and in Auckland, New Zealand. Kilfinan provides confidential, free, one-on-one mentoring to the CEOs of charities and not-for-profit organisations. We have achieved over 140 mentoring matches in our first three years and demand for the service is growing. Kilfinan Australia is jointly managed and run by Executive Directors, Rosemary Grieve and Marion Webster OAM – who have many years of experience in both the corporate and the not-for profit sectors. The Board is chaired by Rebecca McGrath. Our mentors are mainly non-executive directors and senior executives from major ASX-listed Australian companies and/or the public sector. Not-for-profit CEOs are drawn from diverse parts of the sector, including philanthropy, the arts, environment, social welfare, disability and Indigenous, and from small grassroots organisations through to well established, large organisations.",2014
Interchange Australia,"3 Forest Lane, Bowral, NSW 2576, AU",non-profit,51-200 employees,http://interchangeau.org,"Bowral, NSW",https://www.linkedin.com/company/interchange-australia/,Nonprofit,153.428995,-28.018038,AU,"Interchange Australia provides care and support for people to live independently. Our services are designed to meet individual needs to enhance independence, health and wellbeing.",1986
