Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Concentric Healthcare Services,null,"Concentric Rehabilitation Centre is a unique multidisciplinary allied health practice with a special focus on the management of conditions for those in the middle and senior aged groups. We encompass treatment across musculoskeletal, neurological and orthopaedic disciplines.We have brought together experts in each of these fields and incorporated our unique, pain-to-performance model which follows our remove your pain, restore your movement and redefine your potential philosophy. We have a patient-centred approach to treatment, involving you every step of the way. We achieve optimal outcomes by using a combination of hands-on treatments, the latest rehabilitation equipment and individually tailored exercise programs which are delivered by a team of physiotherapists, exercise physiologists and other allied health therapists.",(02) 8916 6476,null,11-50 employees,https://www.concentrichealthgroup.com.au/,"Sydney, NSW",Public Company,null,https://www.linkedin.com/company/concentric-health-care-group/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Unimed Living,"PO Box 4280, Goonellabah, NSW 2480, AU","Unimed Living is a global website dedicated to the subject of health and wellbeing, with over 250+ volunteers writing on topics relating to our everyday lives. This site will have more than 24 ""Spheres""​ covering all areas of life with an opportunity to discover more about yourself and how to live with more awareness.",null,null,201-500 employees,http://www.unimedliving.com,"Goonellabah, NSW",Privately Held,null,https://www.linkedin.com/company/unimed-living/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Health Breaks,"Melbourne,   AU","Health Breaks' employee health and wellbeing solutions address the work from home and physical workplace environments by combining digital health and bespoke person to person solutions. Improve your business bottom line by reducing the cost of employee poor-health. Absenteeism and lost productivity from injury, pain and physical/mental illness, can be curbed or prevented through a proactive approach to employee wellbeing. Health Breaks makes integrating positive health experiences into the workday easy, seamless and accessible. Our employee challenges encourage connection, inclusivity and a positive workplace culture. Live Health Breaks add a personal touch and promote positive shared experiences. Challenges bring out the competitive spirit and provide people with a 'why' to engage in health and fitness. Partner with Health Breaks for peace of mind and the knowledge that Health Breaks cares as much about your employees as you do.",1300 845 990,null,2-10 employees,http://healthbreaks.com.au/,null,Privately Held,null,https://www.linkedin.com/company/health-breaks/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Melbourne Hand Therapy,"28 Arnold St, Elgar Hill Medical Suites Suite Suite 7, Box Hill, Victoria 3128, AU","Melbourne Hand Therapy comprises of both Occupational Therapists and Physiotherapists who work closely with a team of Hand and Upper Limb Surgeons, Rheumatologists and GP’s. We utilise a consultant Clinical Psychologist for patients requiring further specialised care. Where necessary, we are happy to liaise with insurance companies, employers Worksafe, TAC and return to work therapists.",(03) 9899 8490,null,11-50 employees,http://www.melbournehandtherapy.com.au,"Box Hill, Victoria",Privately Held,null,https://www.linkedin.com/company/melbourne-hand-therapy/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
MTP Health,"30 Atchison Street, Suite 3, Ground Floor, St Leonards, NSW 2065, AU","We are a musculoskeletal Exercise Physiology clinic that provides industry-leading, specialised exercise programs focusing on empowerment for our patients. We have a strong speciality in the conservative management of chronic musculoskeletal conditions, particularly lower limb issues such as Osteoarthritis of the hip and knee. Our model of care works closely with primary care physicians, sports medicine professionals & orthopaedic surgeons. We also have a large network of partners in the allied health space that we regularly refer to in order to address the continuing management of our patients once they have completed our programs. Our mission is to impact the lives of 1 million people by improving the way they move. As such our programs are centred around empowering our patients to manage their own condition through the vehicle of improved movement. This includes a significant focus on education and behaviour change for long term sustainability. We firmly believe that the patient experience is at the centre of value healthcare in this day and age and such have made it our focus to provide a service that puts the patient first. Because of the magnitude of our mission, we want to partner with other key players in the healthcare space to help improve the quality of healthcare worldwide.",294379794,null,2-10 employees,http://www.mtphealth.com.au,"St Leonards, NSW",Privately Held,null,https://www.linkedin.com/company/mtp-health/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Encapsulator,"admin@encapsulaotr.io, Sydney, NSW 2000, AU","Encapsulator: The Digital Time Capsule companyA Private Media Platform designed to connect you to the most influential person in your life.... YOU!!!When using encapsulator we provide you with a secure private way to document, track and reflect video content directly from our platform. Utilising our securely encrypted time locked vault.  Create the future you have always dreamt of today.",0466 210 651,null,2-10 employees,http://www.encapsulator.io,"Sydney, NSW",Privately Held,null,https://www.linkedin.com/company/encapsulator/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Executive Health Solutions,null,"Executive Health Solutions (EHS) is considered to be Australia’s number one provider of executive health services. We are dedicated to addressing the health issues of the workforce by providing a range of effective, evidence-based corporate health initiatives. Our assessments are thorough preventive and diagnostic examinations that emphasise healthy lifestyles, risk factor management and personal behaviour change. We provide over 10,000 Executive Health Assessments each year and work with a diverse range of national clients. 

Our highly skilled professional team has over 30 years experience in the corporate health industry. Leading the team of medical specialists who deliver executive health assessments is one of Australia’s top clinical experts, Professor Ron Penny, AO. 

EHS offers a range of executive health assessment packages to cater for the unique needs of any organisation. The packages are designed to help busy executives manage their most valuable asset – their health. The Executive Health Assessments are performed at our facilities at St Vincent’s Clinic’s in both Sydney and Melbourne, our Sydney CBD Clinics and via our national network of premium service providers. 

Our facilities, experience and services we offer are unsurpassed.",null,null,11-50 employees,http://www.executivehealthsolutions.com.au,"Sydney, NSW",Public Company,null,https://www.linkedin.com/company/executive-health-solutions/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Better Health Company,null,"The Better Health Company (formerly MEND Australia) delivers innovative health promoting programs, training and resources. We design and develop interactive solutions for health professionals, communities and workplaces looking to implement healthier lifestyle behaviours, obesity prevention and obesity treatment strategies for children, adults and families.

Our multi-disciplinary approach is underpinned by current clinical guidelines, evidence based recommendations and national guidance. Our team of experts in nutrition, psychology and physical activity, develop cost effective, evidence based solutions for health, community and education professionals. Our services include:

Programs
We develop and deliver a range of healthy lifestyle and weight management programs. Complete with program training and full supporting resource packs, our programs are ready for immediate delivery in your local community or workplace setting.

Training
Our online and face to face training programs provide health and community professionals with engaging and interactive training in areas including healthy lifestyle behaviours, awareness raising, program specific information and skill development. Our training programs are fully accredited and CPD points are awarded upon completion.

Resources
Evidence based healthy lifestyle promoting resources are developed by health professionals and can be used in clinical practice, with families, in community programs or in workplaces. Resources are easily purchased via our online shop at shop.betterhealthcompany.org

Data
Innovative, customisable web based data collection system provides an interactive platform to manage and analyse program results and participant data.",null,null,11-50 employees,http://www.betterhealthcompany.org/,"Abbotsford, VIC",Privately Held,null,https://www.linkedin.com/company/the-better-health-company/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Samudra,"6281, AU","The word Samudra () is a Sanskrit term which means ""Ocean"". In Yoga, we often bind a pose, or create a symbolic seal of our intent to move inward. The word for this seal is ""Mudra"". It is our intent to bind the experience of ocean and body. Our highly experienced teachers aim to give you the tools to learn or develop your Astanga yoga practice, gain or deepen your awareness of the ocean, ride quality waves and nourish yourself with nutritious, wholesome food.

With our foundations firmly grounded in the ancient Astanga yoga practice, we feel it is important to sustain communities of exceptional, healthy and vibrant people. We are therefore devoted to promoting sustainable living. The key to this is consciousness. Everything we practice, teach and provide has a deep environmental ethos, drawing from nature as much as possible and embracing our place within it.

Our purpose-built space in Dunsborough, Western Australia epitomizes this commitment to sustainability. Here in the heart of the beautiful South West region we lead by example. Drop by some time to experience it for yourself: join a yoga class , come surfing and check out our range of organic threads and bio dynamic fresh produce.",null,null,11-50 employees,http://www.samudra.com.au,null,Privately Held,null,https://www.linkedin.com/company/samudra/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Wanngi,"155 Queen Street, Brisbane, Qld 4000, AU","Wanngi is an exciting new Health App for people.  Wanngi enables people to create their own private personal health record.  For the first time consumers can contribute to their own Health Record and upload medical records to  Doctor and Hospital Visits, Allergies, Medication, Pathology tests, Diagnostic Imaging, fitness tracking, Symptom management all in one place.Consumers can also connect their wearables and look at trends in their health and wellness over time. The Wanngi app is designed with people’s privacy and security expectations at its core.  Wanngi will be a view only portal operator in partnership with the Australian Government to provide a view to consumers for their My Health Record.   Our app does not copy record or store any My Health Record data. Wanngi is ideal for people with low bandwidth, storage or issues with network signals.  This is often useful for people in regional areas.Wanngi is the Australian indigenous Djinang language word for “alive, living one, well, or healthy,” which epitomises who we are and what we do. Wanngi is all about getting you back in control and reconnected with your health.Our Vision;>Provides the power of health information into the hands of consumers.Our Principles; >Trusted App with a focus on helping consumers with their health information>Designing and developing Wanngi with people’s privacy and security expectations as core.Our Services;>Providing people with insightful views of their health information",null,null,2-10 employees,https://wanngi.com/,"Brisbane, Qld",Privately Held,null,https://www.linkedin.com/company/wanngi/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Dental Association,"Sydney, NSW 2043, AU","The primary objectives of the Australian Dental Association are to encourage the improvement of the oral and general health of the public, promote the ethics, art and science of dentistry and support members to provide safe, high quality professional oral care.",null,null,11-50 employees,http://www.ada.org.au,"Sydney, NSW",Nonprofit,null,https://www.linkedin.com/company/australian-dental-association-inc-/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
HealthEngine,"Level 4/503 Murray Street, Perth, Western Australia 6000, AU","HealthEngine is transforming Australia’s access to healthcare. In a word, we’re making it easier. Easier for you to connect with your healthcare online, at your convenience. The HealthEngine Network is Australia’s largest patient network. It’s the place where patients are already online, connecting with their favourite healthcare providers through the HealthEngine website and app.There are upwards of 7 million Australians who've made than 30 million bookings online via HealthEngine.",null,null,51-200 employees,https://healthengine.com.au/,"Perth, Western Australia",Privately Held,null,https://www.linkedin.com/company/healthengine/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Vitaco Health Group,null,"Vitaco is the home of an outstanding collection of leading Australian and New Zealand supplements, health food, and sports nutrition brands. Our four core brands, Nutra-Life, Healtheries, Aussie Bodies, and Musashi, have been empowering healthier lives in Australia, New Zealand, and over 30 countries world-wide for over 100 years.Health and wellness is our passion. From our best-in-class manufacturing capabilities to our dedicated customer service team, Vitaco employs over 450 team members in Australia, New Zealand, and Shanghai dedicated to providing the highest quality products for consumers of all ages and types around the world. Vitaco brands are recognized as leaders in their category: Healtheries has been voted the #1 supplements brand in New Zealand for 13 years running, Aussie Bodies is the #1 sports nutrition brand for women in Australia, and Musashi is #1 male sports nutrition brand in Australia. Whether in a grocery store, pharmacy, sports specialty store, or online platform, you are likely to find a high quality Vitaco product everywhere you love to shop.Going global is more important to us than ever before. With the support of our shareholders Shanghai Pharma and Primavera Capital, Vitaco is focused on  expanding into China and other international markets so we can introduce more consumers to the best in clean, green Australian and New Zealand products. Vitaco at a Glance - Today Vitaco:1.    Employs nearly 500 health-passionate people 2.    Distributes products to over 30 countries in 5 continents worldwide 3.    Produces over 1 billion products every yearWhere Are We based:We run our operations from two main offices - North Ryde Sydney and East Tamaki Auckland. Many Vitaco products are 100% New Zealand made; and nearly all are packed from our state-of-the-art plant in East Tamaki, Auckland.",null,null,201-500 employees,http://www.vitaco.co.nz,null,Privately Held,null,https://www.linkedin.com/company/vitaco-health-limited/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Elite Body Contouring,"741-747 Botany Road, Shop 251, Rosebery, NSW 2018, AU","Welcome to Elite Body Contouring, Sydney’s Top Rated Body Contouring Clinics! We are experts in Non-Invasive, Pain Free, Medical Grade Treatments, specialising in the treatment of both women and men. Our treatments are designed to target stubborn, subcutaneous fat below the skin which is often resistant to diet and exercise. We are passionate about achieving the best possible results without any downtime!Our clients journey begins with a face to face consultation with one of our friendly and fully qualified specialists. Here we identify individual concerns and create a tailored treatment programme to help achieve our clients goals. We are results focused and the only clinic in Australia to offer medical grade composition scans for our clients in clinic. Our goal is to accurately measure results and to ensure our clients are staying on track. We only work with the best, so you can be assured that every single treatment uses leading medical grade technology which has been clinically proven. We can help you: • Eliminate Stubborn Fat PERMANENTLY• Reduce Cellulite and Smooth Skin Texture• Tighten, Lift & Tone Problem Areas Without any Downtime or Risky Side Effects.Consultations are complimentary and all of our team are fully qualified and experienced. For bookings or to ask a question simply call us on 1300 10 10 55 and our friendly team will be happy to help!",1300101055,null,11-50 employees,https://www.elitebodycontouring.com.au,"Rosebery, NSW",Privately Held,null,https://www.linkedin.com/company/elite-body-contouring/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
NPE Fitness,null,"NPE is the leading business coaching company for fitness professionals and studio owners to grow their business, take home more money, and have the time freedom to enjoy it.The fitness industry is littered with quick-fix sales and marketing programs that can permanently damage your reputation, brand, and business. At NPE, we take a different approach. The NPE 5 CORE DISCIPLINES™ relentlessly deliver:- Higher profitability with your business model- Better SYSTEMS to acquire and retain NEW clients each month, and - Greater leadership and TEAM capacity, so your business and life improve as you grow.Since 2006, we’ve helped over 45,000+ fitness entrepreneurs in 96+ countries grow to the next level. We’ve been listed 8x on the Inc 500/5000 list of fastest growing companies, and we’re a global team with offices in Los Angeles, London, and Sydney.",null,null,11-50 employees,http://www.npefitness.com,"Santa Monica, California",Privately Held,null,https://www.linkedin.com/company/npefitness/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Integria Healthcare,null,"At Integria Healthcare we bring together the best names in natural medicine to deliver a total suite of superior, scientifically proven healthcare products. With a history that spans 60 years of science and research into herbal remedies, we are now at the forefront of natural medicine research and development. Our products are part of everyday life for millions of people around the world who are seeking natural ways to maintain long, healthy lives.Our talented people are our biggest asset and are at the heart of what we do, our success and continued growth. While our vision is what we want to achieve, our company values represent our shared beliefs on how we work together, make decisions, grow and ultimately be successful. They are our foundation.We provide an environment that is collaborative, enthusiastic and evolving  and exudes passion in our field, where people feel recognised and rewarded for their work. Find out more about our business, our brands and opportunities for you to join us by visiting our website www.integria.com.Please refer to our Social Media Rules for more information on how we govern our social platforms:  https://bit.ly/2S8H0hO",null,null,201-500 employees,http://www.integria.com,"Eight Mile Plains, QLD",Privately Held,null,https://www.linkedin.com/company/integria-healthcare/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Bicycle Network,null,"We believe physical activity is vital for a happy, healthy life, so we make bike riding part of every day. Our strategy is to make bike riding easy for everyone.Projects include:– Behaviour change programs based on social marketing, including Ride2School, Ride2Work and Parkiteer.– Campaigns to increase and improve bicycle infrastructure and seminars and programs for industry professionals.– Events: Around the Bay, RACV Great Victorian Bike Ride, Peaks Challenge Series, Ride the Night and the Newcrest Orange Challenge.– Programs that measure the number of riders, including Super Tuesday, Super SundayWe have a terrific innovative culture.  In the Melbourne CBD we spend each day moving around our green open plan office while we also have offices in Sydney, Hobart and Darwin.We are proud to offer a range of perks to our team members including:– Flexible work hours– Secure bike parking and  amazing end-of-trip facilities (showers, lockers & towel service)– Employee Assistance Program– Six weeks (that's right six weeks!) annual leave – Stand up desks, beanbags, open plan industrial style layout, coffee machine, communal lunch areaVisit our website to find out more about our upcoming events, membership and volunteer opportunities.",null,null,51-200 employees,http://www.bicyclenetwork.com.au,"Melbourne, Victoria",Nonprofit,null,https://www.linkedin.com/company/bicycle-network/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ExcelVite Sdn Bhd,null,"ExcelVite is the largest and only GMP-certified producer of natural mixed tocotrienol complex (EVNol™ and EVNol SupraBio™), mixed carotenoids (EVTene™), phytosterol (EVRol™) and red palm oil concentrate (EVSpectra™) from virgin crude palm oil.

These Phytonutrients are available in various forms (oil extract, compressible beadlets and water dispersible powder). Non-GMO, Kosher and Halal. ExcelVite supports the production of certified sustainable palm oil through the GreenPalm Program.

Applications : Dietary Supplements, Functional Food and Drinks, Natural Food Colorant, Vitamin Pre-mixes, Cosmetic and Personal Care Products. We also have formulations for Animal Feed and Specialty Eggs.

Related US Patents : 
US Pat. No. 6,596,306
US Pat. No. 7,211,274 B2",null,null,201-500 employees,https://www.excelvite.com,"Chemor, Perak",Privately Held,null,https://www.linkedin.com/company/excelvitesdnbhd/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
