Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Country
Australian Education & Industry Alliance,"Brisbane, Queensland 4000, AU","The Australian Education and Industry Alliance (AEIA) is an affiliation between Education and Industry and provides credibility and quality through association. Joining together to illustrate a shared level of ethics and business practice essential to establish trust.The AEIA acts as a third party liaison between Education and Industry, providing information relevant to industry and education representatives.AEIA partners with CRICOS and ELICOS providers, and education agents to provide a comprehensive group of services that follow the national code under the Education Services fo Overseas Students Act 2000 (ESOS Act)AEIA is your seal of quality.Services offered include: CRICOS & ELICOS strategic planning Education Agent Management International Student Fairs Student/Agent Webinars and Digital Marketing Student Support Services English Training for workplace environments International and National Articulation Agreements Vocational Placement and Internships International Trade Missions (Corporate tours and Interpretation services) Industry EventsContact Peter at peter.aeia@yesthatseasy.com to learn about the opportunities available.",410746738,Education Management,2-10 employees,http://www.aeialliance.org,"Brisbane, Queensland",Privately Held,null,https://www.linkedin.com/company/australian-education-industry-alliance/,"1 Coleman St, Singapore 179803",1.291359,103.851346,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Friends of Australian Rock Art Inc.,"Havelock Street, West Perth, WA 6005, AU","FARA works to protect, preserve and promote the rock art of the Dampier Archipelago, including the Burrup Peninsula / Murujuga, through obtainment of World Heritage Listing status by UNESCO.",null,Education Management,2-10 employees,http://www.fara.com.au,"West Perth, WA",Nonprofit,null,https://www.linkedin.com/company/friends-of-australian-rock-art-inc-/,"Havelock Street, West Perth, WA, 6005, AU",-31.939821,115.8162,West Perth,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australian Institute of Body Arts,"11 Clare St, Athol Park, South Australia 5012, AU","The Australian Institute of Body Arts (AIBA) delivers short courses, cosmetic tattooing and body piercing and the SHB50115 Diploma of Beauty Therapy in Adelaide. RTO #45235",408060086,Higher Education,0-1 employees,https://aiba.edu.au/,"Athol Park, South Australia",Educational Institution,null,https://www.linkedin.com/company/australian-institute-of-body-arts/,"11 Clare St, Athol Park SA 5012, Australia",-34.860919,138.540863,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Teachers of Media WA,"Perth, WA 6000, AU","ATOM WA supports Media education in Western Australia through promoting the exchange of ideas between media educators across all systems and sectors, advising state and national authorities about curriculum development and policy, and assisting members by providing a variety professional development opportunities and resources.",null,Education Management,2-10 employees,https://www.atomwa.com.au/,"Perth, WA",Nonprofit,null,https://www.linkedin.com/company/australian-teachers-of-media-wa/,"Education Department, 151 Royal St, Perth WA 6004, Australia",-31.95247045,115.8719808,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Gifted Support Centre,null,null,null,Education Management,null,http://australiangiftedsupport.com,null,null,null,https://www.linkedin.com/company/australian-gifted-support-centre/,"11 Preston Rd, Old Toongabbie NSW 2146, Australia",-33.7935228,150.9679638,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Film Academy,null,null,null,Education Management,null,http://australianfilmacademy.com.au,null,null,null,https://www.linkedin.com/company/australian-film-academy/,"236 Dorcas St, South Melbourne VIC 3205, Australia",-37.8331179,144.9595479,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RGIT Australia,null,"Greenhill Education Group Pty Ltd trading as Royal Greenhill Institute of Technology (RGIT) Australia (RTO No.: 22088) a leading vocational education and training college. RGIT Melbourne and RGIT Hobart offer a range of nationally recognized courses in Nursing (RGIT Melbourne), Childcare, Community Services, Business, Hospitality, and Information Technology. As well as certificate, diploma and advanced diploma courses, we also have Short Courses. With a dedicated team of highly trained staff, RGIT focuses on providing quality training and in-depth industry insight. RGIT equips students with necessary skills and practical, hands-on experience to succeed in the industry. Contact us on (03) 8639 9000 | Email: marketing@rgit.edu.au | Visit our campus at 28-32 Elizabeth Street, Melbourne, VIC 3000 | Learn more: www.rgit.edu.au",+61 3 86399000,Education Management,51-200 employees,https://www.rgit.edu.au/,"Melbourne, VIC",Privately Held,null,https://www.linkedin.com/company/rgit-australia/,"28-32 Elizabeth St, Melbourne VIC 3000, Australia",-37.8172693,144.9648307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Fulbright Australia,"6 Napier Cl, Deakin, ACT 2617, AU","The prestigious Fulbright Program is the largest educational scholarship of its kind, created by U.S. Senator J. William Fulbright and the U.S. Government in 1946. Aimed at promoting mutual understanding through educational exchange, it operates between the U.S. and over 160 countries. In Australia, the scholarships are funded by the Australian and U.S. Governments and corporate partners and administered by the Australian-American Fulbright Commission in Canberra. General InformationEach year, approximately 70 Fulbright Scholarships are awarded to Australian and American postgraduate students, postdoctoral researchers, academics and professionals.",+612 6260 4460,Education Management,2-10 employees,http://www.fulbright.org.au,"Deakin, ACT",Educational Institution,null,https://www.linkedin.com/company/australian-american-fulbright-commission/,"P.O. Box 9541, Deakin ACT 2600, Australia",-35.3145614,149.1080176,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian College Of Commerce & Management - RTO Code 1441,AU,"The Australian College of Commerce and Management has been operating since 1996 when the government introduced private providers to operate in the Vocational Education sector. This allowed employers and students greater choice about where they did their courses and qualifications.The Australian College of Commerce & Management is a Registered Training Organisation with a clear focus on Financial Services, Business, Administration, Call Centre, Information Technology and Management qualifications. As a national provider what sets us apart from other providers is the industry experience of our training team, our client focus, the quality of our training materials and our flexibility in terms of delivery.",null,Education Management,51-200 employees,http://accm.edu.au/,null,Privately Held,null,https://www.linkedin.com/company/australian-college-of-commerce-&-management/,"36 Auburn St, Wollongong NSW 2500, Australia",-34.4291932,150.8889357,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"National Institute of Organisation Dynamics Australia, NIODA",null,"The National Institute of Organisation Dynamics Australia (NIODA) academic programs, research and consultancy have grown from long traditions and practise in systems psychodynamics in Australia for over 35 years.  With programs designed to improve your capability and grow resilience as an individual, in groups and within your organisation.Designed for experienced professionals who wish to develop their capabilities in organisation leadership and management.Established in 2010 for the purpose of providing high quality education in systems psychodynamic approaches for the improvement of organisations, community and society.Our vision is to be recognised and utilised as the centre of excellence in Australia in academic programs, research and consultancy in applied systems psychodynamics so as to improve capability and grow resilience in individuals, groups and organisations. NIODA’s values of Openness, Collaboration, Respect, Dialogue, Reflection, Creativity and Rigour shape and inform all that we do. These values are of particular importance in informing our planning and are reflected and lived in implementation.NIODA is a registered tertiary education provider and NIODA’s Master of Leadership and Management (Organisation Dynamics) degree is accredited under the Tertiary Education Act.For detailed information, events, course and program details, visit our website www.nioda.org.au",null,Higher Education,2-10 employees,https://www.nioda.org.au,"Melbourne, Victoria",Educational Institution,null,https://www.linkedin.com/company/national-institute-of-organisation-dynamics-australia-nioda/,"Level 7/341 Queen St, Melbourne VIC 3000, Australia",-37.8103713,144.958136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
LCF Fun Languages Australia,"PO Box 4050, Carlingford North, NSW 2118, AU","LCF Fun Languages is a leading provider of language solutions to primary schools and childcare centres across Australia.  We offer French, Spanish, German, Italian and Mandarin Chinese clubs for 2-12 year olds. 

We have been teaching languages to primary and pre-school children around the world since 1985. Both teachers and children love our fun approach. Beneath the playful exterior there is a carefully structured and proven course designed to stimulate children's natural enthusiasm for language and communication. 

We are interested in connecting with language enthusiasts, LOTE and language education professionals, in fact anyone that shares our passion for language education!",null,Education Management,51-200 employees,http://www.lcfclubs.com.au,"Carlingford North, NSW",Privately Held,null,https://www.linkedin.com/company/lcf-fun-languages/,"Sydney NSW 2096, Australia",-33.7789084,151.2845423,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Imagine Education Australia,"4215, AU","IMAGINE EDUCATION AUSTRALIA
ENGLISH LANGUAGE SCHOOL

INFORMATION SHEET

Imagine Education Australia has built brand new, state-of-the-art facilities within the educational precinct of Southport and offers first-rate educational experiences to students from all over the world. Our school has nine classrooms, a computer lab, library, student common area, reception area, staff room, offices and plenty of free parking. Our campus is close to the Broadwater, Surfers Paradise and is within 30 metres of a major shopping centre.  We are located at one of the most spectacular locations in the world – Australia’s Gold Coast – which boasts world famous beaches and theme parks, unpolluted air, lush green rainforest and 245 days of sunshine per year!  

For international students Imagine Education offers a range of courses including the following:

Early Learners (6 weeks to 6 years)
Young Learners (7 to 12 years)
High School Preparation (13 to 18 years)
General English - Beginner to Advanced levels
IELTS Preparation
English for Academic Purposes
English plus Volunteer
Parent and Child Program
Certificate III in Children’s Services
Diploma in Children’s Services
Advanced Diploma in Children’s Services
Hospitality 
Hairdressing 
** Please note there is no age limit for adult student enrolments

Imagine Education can provide students with pathways into Bond University and 6 High Schools.  Our teaching staff are highly qualified and our class sizes are small (10-18 students per class).

Learning materials are supplied free of charge and we also run a free bus service from Broadbeach to Southport daily.  

Another added benefit for students is free computer and internet access.  This allows students to keep in touch with their family and friends as well as assisting them with their school work.

Imagine Education operates a professional HOMESTAY program for those students wishing to experience the Australian culture.  Our Homestay families are carefully selected and provide a safe and caring environment for students.  Full service Homestay includes 3 meals per day (with a cut lunch on school days) and transportation to and from school.

All our Homestay families must hold a current Blue Card.  A Blue Card means that all people living in the home who are over 18 have undergone a national check through the Government.

We specialize in catering for Educational English Language Study Tour Groups and can customize an itinerary to suit the requirements of any group.  Please discuss your requirements with us so we can tailor make an itinerary especially for your group.",null,Education Management,51-200 employees,http://www.imagineeducation.com.au,null,Privately Held,null,https://www.linkedin.com/company/imagine-education-australia/,"13 Benowa Rd, Southport QLD 4215, Australia",-27.9846444,153.4084565,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Berry Street Education Model Australia,"1 Salisbury Street, Richmond, Victoria 3121, AU","The Berry Street Education Model is a progressive training and development program, designed by teachers and education leaders FOR teachers and leaders, enabling them to increase engagement with ALL students and successfully improve their self-regulation, growth and academic outcomes.",null,Education Management,null,http://www.childhoodinstitute.org.au/EducationModel,null,null,null,https://www.linkedin.com/company/berry-street-education-model/,"1 Salisbury St, Richmond VIC 3121, Australia",-37.8135823,144.9992661,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Hutton Consulting Australia,null,"Hutton Consulting is an Australian based educational specialist company providing executive search and consultancy services. We partner with schools in identifying and sourcing dynamic leaders who ultimately make a difference to the education and futures of young people.Our team of experienced educators have all held senior leadership positions in schools, therefore utilising a combined deep knowledge and insight across each sector.Celebrating over 120 successful senior appointments, with a 98% success rate, we have an enviable reputation for sustaining trusted relationships with School Boards and Leadership teams.Your next step in leadership search starts with us. Please visit our website for current opportunities.",0488 426 035,Education Management,2-10 employees,https://hutton.education/,"Melbourne, VIC",Privately Held,null,https://www.linkedin.com/company/hutton-consulting-melbourne/,"Level 1/1 Queens Rd, Melbourne VIC 3004, Australia",-37.8357683,144.9738758,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ICTE Solutions Australia,"PO Box 99, Darling Heights, Queensland 4350, AU","We believe that teachers should be supported with successful ICT teaching strategies in order to enhance the learning of students, particularly in primary education, with the here and now of the available technology in the classroom.We provide opportunities for teachers to think like the experts in making instructional decisions, structuring learning activities and employing sound ICT pedagogical strategies in addition to encouraging the use of a variety of features related to knowledge, skills and practice. All of which deepens your Technological Pedagogy Content Knowledge.Everything we do embodies quality and assurance as our online professional development for teachers is not only aligned with the Australian Professional Standards for Teachers (APST), but is endorsed by the only nationally recognised accreditation organisation for teachers – NSW Education Standards Authority (NESA). Thus allowing you to earn accreditation as a teacher through your continued professional development.The ICT teaching strategies encompassed in our teaching resources is drawn from our studies of research based on the most ICT capable schools and practiced by experienced teachers in classrooms today. All of which comes with practical and immediately actionable advice on how you can become a successful ICT integrator today.",null,Education Management,2-10 employees,https://www.ictesolutions.com.au/blog/,"Darling Heights, Queensland",Partnership,null,https://www.linkedin.com/company/icte-solutions-australia/,"The University of Queensland, Sir Llew Edwards Building (#14 Cnr University Drive &, Campbell Rd, St Lucia QLD 4072, Australia",-27.49569,153.0139568,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Business Academy: RTO code 88201,null,"Australian Business Academy provides high quality, nationally accredited education and recognised training courses.The Australian Business Academy Alumni are able to keep in touch and stay up to date on what the Academy is up to now, as well as sharing their own stories of success!",1800 063 049,Education Management,51-200 employees,null,"Symonston, ACT",Privately Held,null,https://www.linkedin.com/company/australian-business-academy/,"11-13 Faulding Street, Symonston, ACT 2609, AU",-35.33604916,149.1671957,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Skillworks Australia,"Level 17, 31 Queen Street, Melbourne, VIC 3000, AU","One of the leading providers of quality education resources, course materials, assessment tools, and training and assessment strategies. Curriculum and course design for higher education undergraduate and post-graduate programs.",null,Education Management,2-10 employees,http://www.skillworks.com.au,"Melbourne, VIC",Privately Held,null,https://www.linkedin.com/company/skillworks-australia/,"Level 17, 31 Queen Street, Melbourne, VIC, 3000, AU",-37.803425,145.01105,Melbourne,Skillworks Australia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Oracy Australia Association Inc.,"22 Elizabeth Street, COTTESLOE, Western Australia 6011, AU","ORACY Australia Association Inc. is an organisation that promotes the value of oral communication skills for students in Primary and Secondary schools.  We assess the skills of speaking and listening.  We aim to help these students become interesting people interested in others.  ""It is through perceptive listening and courteopus speaking that we move towards breaking down social, professional and racial barriers.""​ Christabel Burniston MBE Founder of ORACY",null,Education Management,2-10 employees,http://oracy.org.au,"COTTESLOE, Western Australia",Educational Institution,null,https://www.linkedin.com/company/oracy-australia-association-inc-/,"22 Elizabeth Street, COTTESLOE, Western Australia, 6011, AU",-31.939821,115.8162,COTTESLOE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
National Australian Institute of Technology Pty Ltd,"373-375 Bridge Rd, Richmond, Victoria 3121, AU","NAIT is the result of strategic choices that we have made after 10 Years of experience in technology sector. These in turn are based on our mission and our core value; they define what we believe in and how we go about our business.Our purpose is to provide quality education which will help everyone to create brighter lives for people today and generations to come. 

Our mission is supported by our core value: Sustainability. Everything we do should contribute to a more sustainable world. To us, achieving sustainability means simultaneously pursuing economic performance, environmental quality and social responsibility. In other words, we strive to create value on the three dimensions of People, Planet and Profit simultaneously.

OUR ACCREDITATION AND PARTNERSHIPS

NAIT is trusted by major certifications and examinations vendor because of our commitment towards High Quality standards what we live with. Our industry experts always aim to deliver best in class training's. NAIT Training center is fully equipped with latest technologies meeting more then clients requirements. Our facility is extremely secured with high level of robust security, We conduct high-stakes training and examinations services for 

- Pearson VUE
- Kryterion Inc
- Microsoft Authorized Examination partner
- Castle Worldwide
- Adobe Authorized Examination partner
- Certiport",null,Education Management,11-50 employees,http://www.nait.edu.au,"Richmond, Victoria",Educational Institution,null,https://www.linkedin.com/company/national-australian-institute-of-technology-pty-ltd/,"373-375 Bridge Rd, Richmond, Victoria, 3121, AU",-37.803425,145.01105,Richmond,National Australian Institute of Technology Pty Ltd,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Pet Certified Australia,"2404 Logan Rd, Eight Mile Plains, Queensland 4113, AU","The team at Pet Certified Australia is passionate about pets and the people who care for them. Training and education is a journey and a must within the pet industry. From pet stores, aquariums, grooming salons, produces barns, boarding kennels and veterinary surgeries. If you are a current employee, owner, manager, or wanting to become one - Pet Certified Australia is the education provider for you.",34880398,Education Management,2-10 employees,http://www.petcertified.com.au,"Eight Mile Plains, Queensland",Privately Held,null,https://www.linkedin.com/company/pet-certified-australia/,"2404 Logan Rd, Eight Mile Plains, Queensland, 4113, AU",-27.47126,153.01831,Eight Mile Plains,Headquarters,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
E-Skills Australia,"Level 17, 31 Queen Street, Melbourne, VIC 3023, AU","We are a Melbourne-based consulting company providing a range of compliance, education management, governance, and quality assurance solutions to vocational and higher education institutions across Australia. We are one of the few dual-sector consultants providing advisory and academic services to both the VET and the Higher Education sectors. We engage with a wide spectrum of institutions across different sectors and offers services in audit and compliance management, governance & QA frameworks development and implantation, strategic & business planning and course/content development. E-Skills Australia is constantly looking to develop innovative training, management and academic solutions for its clients.",null,Education Management,2-10 employees,http://www.eskillsaustralia.com.au,"Melbourne, VIC",Privately Held,null,https://www.linkedin.com/company/e-skills-australia/,"Level 17, 31 Queen Street, Melbourne, VIC, 3023, AU",-37.803425,145.01105,Melbourne,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australian Institute of Career Education - AICE (RTO Code 52359),"Queens Buildings (Wesley Quarter), Level 2 97 William St, Perth, WA 6000, AU",WA owned and operated training organisation providing education to the Health Care and Community Services sectors,null,Education Management,2-10 employees,http://www.aice.wa.edu.au,"Perth, WA",Privately Held,null,https://www.linkedin.com/company/australian-institute-of-career-education-rto-code-52359/,"Queens Buildings (Wesley Quarter), Perth, WA, 6000, AU",-31.939821,115.8162,Perth,Headquarters,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
The Australian Academy Of Business (TAAB),"2 Palings Court, Nerang, Qld 4211, AU","The Australian Academy of Business (TAAB) is a Registered Training Organisation (RTO). We find employee  training solutions that are right for your business (including traineeships) and for the individual. 

The Australian Academy of Business (TAAB) is based at Nerang on the Gold Coast, however services all over Australia with their network of trainers and online courses. 

Improve your skills & enroll in a course today.   www.taab.edu.au",null,Education Management,2-10 employees,http://www.taab.edu.au,"Nerang, Qld",Privately Held,null,https://www.linkedin.com/company/the-australian-academy-of-business/,"2 Palings Ct, Nerang QLD 4211, Australia",-27.980207,153.340589,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
The Training Box (Australia),"45/181 Lae Drive, Runaway Bay, Queensland 4216, AU","EON Training Box has partnered with a number of quality training providers and consultants to offer the best in personal and professional development training in Australia. In a training market that is currently awash with uncertainty, together with unscrupulously providers,  EON Training Box has carefully selected and collaborated with training providers and consultants. In doing so, EON Training Box can offer both business and the general public a quality outcome each and every time someone contracts or works alongside EON Training Box.",null,Education Management,2-10 employees,http://www.trainingbox.com.au,"Runaway Bay, Queensland",Public Company,null,https://www.linkedin.com/company/a-quote-away-pty-ltd/,"45/181 Lae Drive, Runaway Bay, Queensland, 4216, AU",-27.994457,153.40938,Runaway Bay,Montego Lagoons,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Angad Australian Institute of Technology,"Level 6, 501 Latrobe Street, Melbourne, Victoria 3000, AU",null,null,Education Management,null,http://angad.vic.edu.au,"Melbourne, Victoria",null,null,https://www.linkedin.com/company/angad-australian-institute-of-technology/,"Level 6, 501 Latrobe Street, Melbourne, Victoria, 3000, AU",-37.803425,145.01105,Melbourne,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
