Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Avon Community Services,"371 Fitzgerald St E, Northam, Western Australia 6401, AU",null,null,Indevidual and Family Services,11-50 employees,http://www.avoncommunityservices.com.au,"Northam, Western Australia",null,null,https://www.linkedin.com/company/avon-community-services/,"371 Fitzgerald St E, Northam, Western Australia, 6401, AU",-31.670431,116.7256,Northam,Avon Community Services,"4th Kuyeong building Hakdongro 201, Seoul, null, null, KR",37.567238,126.98681,Seoul,Seoul,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Bodhi Spending Planners Pty Ltd,null,"See yourself Free of Debt and Bill Worries...

I coach and mentor people in Money Management helping them discover why their spending patterns have stifled their dreams.

By using our online Spending Program you will discover where your money is going, how you can take control, what funds you will need and when, so all your bills are covered in a timely manner and how you can start getting debts under control and paid off, plus plan for future unexpected financial events so they don't become a problem.

You will discover that by using our program, you can start dreaming once again, a holiday, a new car, even how you can get off the rent merry-go-round and buy your own home. It is all possible.

I will work with individuals, families and small businesses both in Australia and Overseas as all will find benefit from what I can offer.

We also work with Mortage Brokers by helping their clients organis their spending so they can afford a Mortgage and we will supply the Broker with a 12 month spending analysis to support their duty of care requirements.

So if you are struggling to get on top of Money issues, get in touch via the website.",null,Indevidual and Family Services,2-10 employees,http://www.bodhispendingplanners.com.au,"Oxenford, QLD",Public Company,2016,https://www.linkedin.com/company/hugh-scarlett-cameraman/,"1092 Lower Delta Rd, #05-08, Singapore 169203",1.2809648,103.8220929,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Western Truck Group,null,"Western Truck Group is an individual & family services company based out of 373-391 Anzac Ave, Harristown, Australia.",null,Indevidual and Family Services,null,http://wtg.com.au,null,null,null,https://www.linkedin.com/company/western-truck-group/,"373-391 Anzac Ave, Harristown QLD 4350, Australia",-27.5875968,151.9157714,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Thompson Family Funerals,"123 Mostyn St, CASTLEMAINE, VIC 3450, AU","At Thompson Family Funeral Directors, we pride ourselves on the individual care and attention to every detail. Located in Castlemaine, Victoria, Australia.

We have grown up in the Mount Alexander area, with the first thompson Settling in Newstead in the 1850's.

The Thompson family has four generations of history in the industry and has been professionally operated for over 60 years. 

We Operate a 24 Hour Service, 7 Days a week


In today’s age, it is surprising to find so little is known of the details concerning the problems bereavement brings. Funeral customs vary greatly all over the world, but largely they have become what they are, because people have decided for themselves the manner in which they wish to honour their departed ones. There seems to be a reluctance to enquire beforehand about the facts surrounding death, although it is one of the most natural happenings in life. Because of that reluctance, additional grief and mental anguish are often added to the normal sorrow which accompanies bereavement, whether it be sudden or expected.",null,Indevidual and Family Services,2-10 employees,http://www.thompsonsfunerals.com.au,"CASTLEMAINE, VIC",Privately Held,1950,https://www.linkedin.com/company/thompson-family-funerals/,"123 Mostyn St, CASTLEMAINE, VIC, 3450, AU",-37.0649,144.22102,CASTLEMAINE,Main Office,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
HNE Health,null,"HNE Health is an individual & family services company based out of 119 Mount Pleasant St, Maitland, Australia.",null,Indevidual and Family Services,null,http://hnehealth.nsw.gov.au,null,null,null,https://www.linkedin.com/company/hne-health/,"Lookout Rd, New Lambton NSW 2305, Australia",-32.9212772,151.6913022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Dear Dyslexic,"Melbourne, Vic 3000, AU",null,null,Indevidual and Family Services,0-1 employees,http://www.deardyslexic.com,"Melbourne, Vic",Nonprofit,null,https://www.linkedin.com/company/deardyslexicfoundation/,"DEAR, 12929 E 21st St b, Tulsa, OK 74134, United States",36.1340415,-95.8312021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Right At Home Sunshine Coast,"Suite 8, 20 Innovation Parkway, Birtinya, QLD 4575, AU","Right at Home is a leading home care provider with over 512 offices around the world. We provide in-home supportive care for older Australians, adults with disability, and people recovering from surgery, to help them continue living independently in their homes. Right at Home is an organisation dedicated to improving the quality of life for those we serve, taking a holistic approach to care, supported by an outcomes driven, measurable, care planning process, including the vital socialisation aspects that support good mental health. In a nutshell, Right at Home focuses on the individual, on their specific needs, to improve the quality of their life. Our home care services include companion, personal, nursing, respite, transportation, aged, disability, transitional, 24 hour, and palliative care. This can range from shopping, cleaning, bathing, social outings - to skilled nursing care such as IV therapy, wound dressings and medication administration. For more information please go to our website at www.rightathome.com.au or give us a call on (07) 5301 9340.",null,Indevidual and Family Services,11-50 employees,http://www.rightathome.com.au/sunshinecoast,"Birtinya, QLD",Privately Held,1995,https://www.linkedin.com/company/right-at-home-sunshine-coast/,"Suite 8, Birtinya, QLD, 4575, AU",-26.700788,153.1243,Birtinya,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Hive Village Project,"Unknown, Sydney, NSW 2000, AU","A startup by a DV Survivor aimed at building long-term, turn-key, self contained homes for survivors and their pets, starting over after family violence and abuse in NSW.",null,Indevidual and Family Services,0-1 employees,http://www.facebook.com/hivevillage,"Sydney, NSW",Nonprofit,2016,https://www.linkedin.com/company/hive-village-project/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
The Butterfly Initiative,"Frankston,   AU","NDIS Support Workers covering Melbourne and Surrounds, Bayside, South Eastern Suburbs, Mornington Peninsula, Phillip Island, and Gippsland",null,Indevidual and Family Services,11-50 employees,https://www.thebutterflyinitiative.com.au/,null,Privately Held,2020,https://www.linkedin.com/company/the-butterfly-initiative/,"151 Lor Chuan, #06-01B Lobby A, New Tech Park, Singapore 556741",1.3521153,103.8606731,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Ability to Achieve,"11/17 Willfox St, Condell Park, New South Wales 2200, AU","Ability to Achieve is a boutique company that provides a tailored service for each of our clients.We have a strong team that works together to support people with high and complex needs.. Workers can be booked on a casual or ongoing basisWe work on a 24/7 roster. We are open all public holidays.Youth Work:Relief workers for residential & emergency careYouth mentoringActive sleep over shiftsTransportationDivorce / separation counsellingGrief counsellingGeneral counsellingAlcohol and drug addiction counsellingSelf harm educationSupport with bullying and self esteemSex education Support child/youth with peer pressureAssistance with school work/tutoring/truancyImproving social and emotional skillsAssistance dealing with Social anxiety Assistance dealing with difficult behavioursDisability Support work:Disability supportCommunity accessDay programmes and social group outingsAssistance with household tasks and daily activities Life stage transition Supported holidaysTransportNursing CareAccommodation / Tenancy Assistance Employment assistanceAbility Support offers a wide range of support for children, youth, adults and their families, with an intellectual disabilityAll workers hold relevant tertiary qualifications, current first aid certificate, drivers license , comprehensive car insurance, and have passed all relevant  security checks:   Personal and employment references Driving record checkWorking with Children Check.Police check",432813221,Indevidual and Family Services,11-50 employees,http://www.abilitytoachieve.com.au,"Condell Park, New South Wales",Sole Proprietorship,null,https://www.linkedin.com/company/ability-to-achieve/,"11/17 Willfox St, Condell Park, New South Wales, 2200, AU",-33.84907,151.13834,Condell Park,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Caring Choice,"Respite Cottages, In-home aged care & disability care, Adelaide, South Australia,   AU","Caring Choice provides flexible in home and respite community care covering Aged, Disability and 24-hour Care Services.

At Caring Choice we understand that arranging appropriate care for you or a loved one can be very challenging, both emotionally and physically. We provide quality care and support which enables our South Australian clients to continue to reside independently in their home with confidence and dignity.

For some clients, this provides an opportunity for a couple to stay together for longer, living in the comfort of their own home, rather than going into a nursing home where they may need to be cared for separately.We also provide a helping hand for family members who have taken on the role of “carer” – someone they can trust, and confidently rely on, to help ease your situation.",null,Indevidual and Family Services,201-500 employees,http://www.caringchoice.com.au/,null,Privately Held,2005,https://www.linkedin.com/company/caring-choice/,"20 Cowley Ln, Chapeltown, Sheffield S35 1SY, United Kingdom",53.4606412,-1.4644865,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ABAlink,"5-9 Devlin St, Level 3 , Ryde, New South Wales 2112, AU",We specialise in Applied Behavioural Analysis (ABA) therapy for children and adolescents with autism and other developmental disorders in the Sydney area. There’s no one size fits all approach; your child is unique and so is their ABA program. ABA therapy is scientifically proven to be effective. Everything ABAlink does is centred around the use of evidence-based therapy to empower children and adolescents reach their full potential whilst helping parents and carers minimise the often overwhelming stress of caring for a child with autism. We also provide support with our SuperSitters - trained behavioural therapists who intentionally engage with your child and help out when your family needs it the most.,02 9411 4618,Indevidual and Family Services,11-50 employees,https://www.abalink.com.au/,"Ryde, New South Wales",Privately Held,2000,https://www.linkedin.com/company/abalink/,"Level 3/5-9 Devlin St, Ryde NSW 2112, Australia",-33.8135733,151.104013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Cality Care,"79 George Street, Level 9, Parramatta , NSW 2150, AU","ARC Care and Ability is an individual and holistic home care service that supports you to achieve your personal lifestyle goals.By providing nationally accredited qualifications to thousands of care workers across Australia, we’re now able to provide the best quality support care workers to you 24/7.Our team of reliable, qualified professionals are committed to listening to you and your representatives to understand the services and care that you require.We currently offer aged care and disability home care services in Brisbane and Sydney.",null,Indevidual and Family Services,51-200 employees,http://www.arccare.com.au,"Parramatta , NSW",Privately Held,2015,https://www.linkedin.com/company/cality-care-aus/,"Level 27 Penthouse, Centrepoint North Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur, Malaysia",3.1180395,101.6776556,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
United Disability Care,"35 Robina Town Centre Dr, Level 5, Robina, Queensland 4226, AU","United Disability Care proudly provides quality, personalised support to people living with disability across NSW, QLD and SA.Our teams are passionate professional that are dedicated to ensuring the people we care for are living an enriched life, meeting their goals and most of all, supported to love their life and live their dreams.Our specialist disability support services include: Housing solutions with Supported Indepentdenent living and Supported Disability Accommodation, and In-home respite care.Community participation, Inspired Day programs in Coffs Harbour and Northern NSW. We have Supports Coordinators and NDIS Plan Managers. Our Clinical services - including behaviour specialists and mental health practitioners. Why choose us as your Service Provider?UDC have been providing disability support services to people since 1991. We offer a range of sevices although we specilise in finding housing solutions for people living with disability or with Mental Health illnesses.Our qualified and experienced staff will work with you and your current support networks to meet your individual needs, with a compassionalte and personalise approach.You can contact us during business hours at one of our offices, email as well as we offer an emergency on call service also.",1300 454 850,Indevidual and Family Services,"501-1,000 employees",http://www.uniteddisability.com.au,"Robina, Queensland",Nonprofit,1991,https://www.linkedin.com/company/uniteddisabilitycare/,"Level 5/35 Robina Town Centre Dr, Robina QLD 4230, Australia",-28.076976,153.3881953,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Aged Care Decisions,"8 Grice Ave, Paradise Point, Queensland 4216, AU","Aged Care Decisions is Australia's largest aged care placement service. We work with over 70% of Aged Care Providers across metro Australia and assist over 2,000 families per month. We work with families to help find the best-matched aged care options for them and their loved ones. We help with navigating the aged care journey by providing phone support and a customised list of options that match their care needs, preferences and budget to aged care facilities in their area. The service is kept 100% free for families because registered Aged Care Providers pay the resident's placement support fee.Our Client Support Guarantee ensures that all potential residents get the support they in their aged care placement journey. We also support Aged Care facilities with placement services and assist Health Care Referrers, such as Social Workers, GP’s and other Health Professionals with urgent patient placement.",1300 775 870,Indevidual and Family Services,11-50 employees,https://agedcaredecisions.com.au/,"Paradise Point, Queensland",Privately Held,2013,https://www.linkedin.com/company/caredecisions/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
SASI.Vic,null,"SASI offers teenagers and adults with high needs autism and other complex disabilities the education and support they need to live with dignity, respect and as independently as possible.Our Active Choice opportunities, Support Coordination Services, In-home Support, Camps, Social & Recreactional services, Supported Independent Living, Respite and Positive Behavioural Supports are all set up to meet the developmental wants and needs of clients. SASI constantly monitor each person's progress and provide evidence of this through regular feedback to families and carers.SASI staff are highly trained, skilled, committed and responsive to individual client and family needs.",397736044,Indevidual and Family Services,51-200 employees,http://www.sasi.org.au,"Frankston, Victoria",Nonprofit,1967,https://www.linkedin.com/company/statewide-autistic-services/,"level 1/54-58 Wells St, Frankston VIC 3199, Australia",-38.1433353,145.1230841,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Thrive Kids,"Adelaide, SA  AU","Our mission is to empower parents, carers and educators of kids with ASD/ADHD with the tools, knowledge and support they need to experience a better day, every day, for everyone; at home, at school and with play.",null,Indevidual and Family Services,0-1 employees,null,"Adelaide, SA",Privately Held,null,https://www.linkedin.com/company/thrivekidsaustralia/,"228 Bank St, South Melbourne VIC 3205, Australia",-37.834404,144.959114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Resilience Kit,"136 Railway St, Cottesloe, Western Australia 6011, AU","Resilience Kit introduces therapeutic concepts to children through playful and creative group sessions, developing executive skills to build resilience and reduce anxiety.Using evidence-based strategies, we help children improve their ability to regulate their emotions, enhance helpful self-talk and develop constructive behaviours.",481369446,Indevidual and Family Services,2-10 employees,https://www.resiliencekit.com.au/,"Cottesloe, Western Australia",Sole Proprietorship,2016,https://www.linkedin.com/company/resilience-kit/,"Cottesloe Chambers, 8/136 Railway Street, Cottesloe WA 6011, Australia",-31.983618,115.769888,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Clear Sky Australia,"Alexander Pde, Newcastle, New South Wales 2290, AU","Clear Sky Australia PTY LIMITED (CSA) is a boutique Disability Service Provider specialising in delivering person centered and inclusive supports to individuals with a disability in the Newcastle and Hunter Region.With 30 years industry experience, managing and providing services in some of the largest providers in the industry,  Directors Chris, Patrick and Scott in collaboration with industry stakeholders Formed Clear Sky Australia to offer a boutique service where the focus remains on the individual service user.CSA's main area's of service include: NDIS funded Supported Independent Living (S.I.L), and Community Participation programs.CSA also offer supports in: Life transition planning, mentoring, peer support and individual skill development and training in both group and individual settings.Clear Sky Australia provide an individual focused and dynamic service, tailored to support and facilitate achieving service users individual goals. CSA utlise a unique non-center based approach to enhance local community connections and emphasise opportunity and inclusion in the service users community.Contact details:E : admin@clearskyaustralia.com.auFB: https://www.facebook.com/clearskyaustralia/W : www.clearskyaustralia.com.au",null,Indevidual and Family Services,11-50 employees,http://www.clearskyaustralia.com.au/,"Newcastle, New South Wales",Privately Held,2018,https://www.linkedin.com/company/clear-sky-australia-pty-limited/,"62 Alexander Parade, Charlestown NSW 2290, Australia",-32.9728105,151.6964319,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Rainbow Families,"572 King St, Newtown , NSW 2042, AU","The mission of Rainbow Families is to build a community which fosters resiliency by connecting, supporting and empowering lesbian, gay, bisexual, transgender, queer and intersex (LGBTQI ) familiesWho we are Rainbow Families is the peak NSW organisation supporting LGBTQI parents and children. We work with partners and volunteers to deliver a range of programs. These include educational seminars, parenting education, playgroups, and social, community and cultural events. Rainbow Families has introduced a strong voice for LGBTQI parents and their children in NSW, providing advocacy, support and opportunities to celebrate our families.Rainbow Families is governed by a community management committee. We are a not for profit organisation that first convened in early 2015, and has been incorporated since April 2016.  We rely on fundraising, public community grants and private donations to ensure our quality programs continue. Through our program, Rainbow Families works to help those in need to receive the right assistance. In particular, our programs help ensure; •	Families get the right help to support their babies, children and teenagers, including social support and         parenting programs•	Culture, sexual and gender diversity  is acknowledged and celebrated throughout all our service delivery •	Build parents and children’s resilience and reduce systemic and social discrimination experienced by Rainbow         Families •	Celebrate and nurture a supportive community •	LGBTQI parents with experience of depression and post natal depression and anxiety have access to sensitive         information and referral to specialist support •	Support children and young people to build a social support networks •	Empower parents to provide the best care for their children by providing quality parenting programs and         education Contact: info@rainbowfamilies.com.au",null,Indevidual and Family Services,0-1 employees,http://www.rainbowfamilies.com.au,"Newtown , NSW",Nonprofit,2015,https://www.linkedin.com/company/rainbow-families-inc/,"Level 1/241 Castlereagh St, Sydney NSW 2000, Australia",-33.8760232,151.2085139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Second Chances SA,"GPO Box 1636, Adelaide, South Australia 5001, AU","Second Chances SA is a non-profit volunteer organisation committed to restoring hope in the lives of prisoners, their families and their communities in South Australia. Our programs are custom-designed to equip children, families and prisoners to create better futures for themselves.",null,Indevidual and Family Services,2-10 employees,https://secondchances.org.au/,"Adelaide, South Australia",Nonprofit,2015,https://www.linkedin.com/company/second-chances-sa/,"3/397 Diagonal Rd, Sturt SA 5047, Australia",-35.025076,138.552825,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Centacare New England North West,null,"Centacare NENW is a quality accredited not-for-profit organisation which has been operating across the health, welfare and community services sectors for over 15 years",null,Indevidual and Family Services,51-200 employees,http://www.centacarenenw.com.au,"Tamworth, NSW",Nonprofit,2001,https://www.linkedin.com/company/centacare-new-england-north-west/,"21 Oliver St, Inverell NSW 2360, Australia",-29.772796,151.11568,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Better Together Community Support Inc.,"1 Main Street, Atherton, QLD 4883, AU","We provide a variety of services to the people of the greater Tablelands region, helping them to improve their emotional, and physical well-being so they can contribute and participate in a strong and cohesive community.Here, you'll find links to our website and contact details. We hope to improve your day by shining a light on our services, the latest news about mental and social issues and the support available around the Atherton Tablelands region.",07 4091 3850,Indevidual and Family Services,11-50 employees,https://www.bettertogether.com.au/,"Atherton, QLD",Nonprofit,1987,https://www.linkedin.com/company/bettertogetheratherton/,"1 Main St, Atherton QLD 4883, Australia",-17.262843,145.4771942,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Big Brown House,"Fern Bay, NSW 2295, AU","Big Brown House is an Accredited community based organisation, with Newcastle and Dubbo offices, supporting families and the community throughout NSW. We are a Designated Agency and registered to provide Voluntary Out-of-home Care (VOOHC).Our safe and reliable services assist children, families and communities to connect and thrive.We offer a range of tailored and flexible services including:Supported Family Time (Supervised contact, transport and changeover)Tailored Support Services (Mentoring, education and camp support)Therapeutic Respite and In Home SupportFamily and Carer SupportsFamily Group ConferencingBig Brown House is focused on meeting community needs by offering a range of therapeutic services to support family and child wellbeing.",0437 223 164,Indevidual and Family Services,11-50 employees,https://bigbrownhouse.com.au/,"Fern Bay, NSW",Privately Held,2011,https://www.linkedin.com/company/big-brown-house/,"L 2-033, Sutera Mall, 1, Jalan Sutera Tanjung 8/4, Taman Sutera Utama, 81300 Johor Bahru, Johor, Malaysia",1.5178256,103.6716795,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Phoenix2Warrior,"Hobart,   AU","For women going through separation, Phoenix2Warrior provides a safe community designed to support healing, growth and empowerment. The organisation is in its infancy, however is passionate in supporting women through what can be an exceptionally challenging time.",null,Indevidual and Family Services,0-1 employees,null,null,Privately Held,2019,https://www.linkedin.com/company/phoenix2warrior/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
